Time,OD,well,sample,species,carbon_source,concentration,project,run,linegroup
0.4861111111111111,0.00399999999999999,C4,S10B1,Ochrobactrum anthropi,Glycerol,30.0,240623_growth_phenotyping,oa,240623_growth_phenotyping_oa_C4
0.986111111111111,0.001999999999999988,C4,S10B1,Ochrobactrum anthropi,Glycerol,30.0,240623_growth_phenotyping,oa,240623_growth_phenotyping_oa_C4
1.4861111111111112,0.002333333333333326,C4,S10B1,Ochrobactrum anthropi,Glycerol,30.0,240623_growth_phenotyping,oa,240623_growth_phenotyping_oa_C4
1.9861111111111112,0.002999999999999989,C4,S10B1,Ochrobactrum anthropi,Glycerol,30.0,240623_growth_phenotyping,oa,240623_growth_phenotyping_oa_C4
2.486111111111111,0.003333333333333327,C4,S10B1,Ochrobactrum anthropi,Glycerol,30.0,240623_growth_phenotyping,oa,240623_growth_phenotyping_oa_C4
2.986111111111111,0.002999999999999989,C4,S10B1,Ochrobactrum anthropi,Glycerol,30.0,240623_growth_phenotyping,oa,240623_growth_phenotyping_oa_C4
3.486111111111111,0.003333333333333327,C4,S10B1,Ochrobactrum anthropi,Glycerol,30.0,240623_growth_phenotyping,oa,240623_growth_phenotyping_oa_C4
3.986111111111111,0.003333333333333327,C4,S10B1,Ochrobactrum anthropi,Glycerol,30.0,240623_growth_phenotyping,oa,240623_growth_phenotyping_oa_C4
4.486111111111112,0.003333333333333327,C4,S10B1,Ochrobactrum anthropi,Glycerol,30.0,240623_growth_phenotyping,oa,240623_growth_phenotyping_oa_C4
4.986111111111112,0.003333333333333327,C4,S10B1,Ochrobactrum anthropi,Glycerol,30.0,240623_growth_phenotyping,oa,240623_growth_phenotyping_oa_C4
5.486111111111112,0.003333333333333327,C4,S10B1,Ochrobactrum anthropi,Glycerol,30.0,240623_growth_phenotyping,oa,240623_growth_phenotyping_oa_C4
5.986111111111112,0.003333333333333327,C4,S10B1,Ochrobactrum anthropi,Glycerol,30.0,240623_growth_phenotyping,oa,240623_growth_phenotyping_oa_C4
6.486111111111112,0.003333333333333327,C4,S10B1,Ochrobactrum anthropi,Glycerol,30.0,240623_growth_phenotyping,oa,240623_growth_phenotyping_oa_C4
6.986111111111112,0.003333333333333327,C4,S10B1,Ochrobactrum anthropi,Glycerol,30.0,240623_growth_phenotyping,oa,240623_growth_phenotyping_oa_C4
