linegroup,species
240623_growth_phenotyping_ct_A1,Comamonas testosteroni
240623_growth_phenotyping_ct_A2,Comamonas testosteroni
240623_growth_phenotyping_ct_A3,Comamonas testosteroni
240623_growth_phenotyping_ct_D10,Comamonas testosteroni
240623_growth_phenotyping_ct_D11,Comamonas testosteroni
240623_growth_phenotyping_ct_D12,Comamonas testosteroni
240623_growth_phenotyping_ct_G10,Comamonas testosteroni
240623_growth_phenotyping_ct_G11,Comamonas testosteroni
240623_growth_phenotyping_ct_G12,Comamonas testosteroni
240623_growth_phenotyping_ct_E4,Comamonas testosteroni
240623_growth_phenotyping_ct_E5,Comamonas testosteroni
240623_growth_phenotyping_ct_E6,Comamonas testosteroni
240623_growth_phenotyping_ct_C4,Comamonas testosteroni
240623_growth_phenotyping_ct_C5,Comamonas testosteroni
240623_growth_phenotyping_ct_C6,Comamonas testosteroni
240623_growth_phenotyping_ct_H4,Comamonas testosteroni
240623_growth_phenotyping_ct_H5,Comamonas testosteroni
240623_growth_phenotyping_ct_H6,Comamonas testosteroni
240623_growth_phenotyping_ct_C7,Comamonas testosteroni
240623_growth_phenotyping_ct_C8,Comamonas testosteroni
240623_growth_phenotyping_ct_C9,Comamonas testosteroni
240623_growth_phenotyping_ct_B7,Comamonas testosteroni
240623_growth_phenotyping_ct_B8,Comamonas testosteroni
240623_growth_phenotyping_ct_B9,Comamonas testosteroni
240623_growth_phenotyping_ct_G7,Comamonas testosteroni
240623_growth_phenotyping_ct_G8,Comamonas testosteroni
240623_growth_phenotyping_ct_G9,Comamonas testosteroni
240623_growth_phenotyping_ct_A10,Comamonas testosteroni
240623_growth_phenotyping_ct_A11,Comamonas testosteroni
240623_growth_phenotyping_ct_A12,Comamonas testosteroni
240623_growth_phenotyping_ct_C10,Comamonas testosteroni
240623_growth_phenotyping_ct_C11,Comamonas testosteroni
240623_growth_phenotyping_ct_C12,Comamonas testosteroni
240623_growth_phenotyping_ct_D4,Comamonas testosteroni
240623_growth_phenotyping_ct_D5,Comamonas testosteroni
240623_growth_phenotyping_ct_D6,Comamonas testosteroni
240623_growth_phenotyping_ct_B1,Comamonas testosteroni
240623_growth_phenotyping_ct_B2,Comamonas testosteroni
240623_growth_phenotyping_ct_B3,Comamonas testosteroni
240623_growth_phenotyping_ct_F10,Comamonas testosteroni
240623_growth_phenotyping_ct_F11,Comamonas testosteroni
