linegroup,carbon_source,cs_conc,base_media
240623_growth_phenotyping_ct_E6,L-histidine,15.0,M9 + HMB
240623_growth_phenotyping_ct_E6,L-histidine,15.0,M9 + HMB
240623_growth_phenotyping_ct_E6,L-histidine,15.0,M9 + HMB
240623_growth_phenotyping_ct_B12,Fumarate,22.5,M9 + HMB
240623_growth_phenotyping_ct_B12,Fumarate,22.5,M9 + HMB
240623_growth_phenotyping_ct_B12,Fumarate,22.5,M9 + HMB
240623_growth_phenotyping_ct_B9,Formate,90.0,M9 + HMB
240623_growth_phenotyping_ct_B9,Formate,90.0,M9 + HMB
240623_growth_phenotyping_ct_B9,Formate,90.0,M9 + HMB
240623_growth_phenotyping_ct_D6,L-arginine,15.0,M9 + HMB
240623_growth_phenotyping_ct_D6,L-arginine,15.0,M9 + HMB
240623_growth_phenotyping_ct_D6,L-arginine,15.0,M9 + HMB
240623_growth_phenotyping_ct_H6,Sucrose,7.5,M9 + HMB
240623_growth_phenotyping_ct_H6,Sucrose,7.5,M9 + HMB
240623_growth_phenotyping_ct_H6,Sucrose,7.5,M9 + HMB
240623_growth_phenotyping_ct_C9,Glycine,45.0,M9 + HMB
240623_growth_phenotyping_ct_C9,Glycine,45.0,M9 + HMB
240623_growth_phenotyping_ct_C9,Glycine,45.0,M9 + HMB
240623_growth_phenotyping_ct_G12,Proline,18.0,M9 + HMB
240623_growth_phenotyping_ct_G12,Proline,18.0,M9 + HMB
240623_growth_phenotyping_ct_G12,Proline,18.0,M9 + HMB
240623_growth_phenotyping_ct_B6,D-xylose,18.0,M9 + HMB
240623_growth_phenotyping_ct_B6,D-xylose,18.0,M9 + HMB
240623_growth_phenotyping_ct_B6,D-xylose,18.0,M9 + HMB
240623_growth_phenotyping_ct_A9,Cysteine,30.0,M9 + HMB
240623_growth_phenotyping_ct_A9,Cysteine,30.0,M9 + HMB
240623_growth_phenotyping_ct_A9,Cysteine,30.0,M9 + HMB
240623_growth_phenotyping_ct_C12,Inosine,9.0,M9 + HMB
240623_growth_phenotyping_ct_C12,Inosine,9.0,M9 + HMB
240623_growth_phenotyping_ct_C12,Inosine,9.0,M9 + HMB
240623_growth_phenotyping_ct_C6,Glycerol,30.0,M9 + HMB
240623_growth_phenotyping_ct_C6,Glycerol,30.0,M9 + HMB
240623_growth_phenotyping_ct_C6,Glycerol,30.0,M9 + HMB
240623_growth_phenotyping_ct_C3,Glutarate,18.0,M9 + HMB
240623_growth_phenotyping_ct_C3,Glutarate,18.0,M9 + HMB
240623_growth_phenotyping_ct_C3,Glutarate,18.0,M9 + HMB
240623_growth_phenotyping_ct_D9,L-aspartate,22.5,M9 + HMB
240623_growth_phenotyping_ct_D9,L-aspartate,22.5,M9 + HMB
240623_growth_phenotyping_ct_D9,L-aspartate,22.5,M9 + HMB
240623_growth_phenotyping_ct_H9,Uridine,10.0,M9 + HMB
240623_growth_phenotyping_ct_H9,Uridine,10.0,M9 + HMB
240623_growth_phenotyping_ct_H9,Uridine,10.0,M9 + HMB
240623_growth_phenotyping_ct_B3,D-glucose,15.0,M9 + HMB
240623_growth_phenotyping_ct_B3,D-glucose,15.0,M9 + HMB
240623_growth_phenotyping_ct_B3,D-glucose,15.0,M9 + HMB
240623_growth_phenotyping_ct_F9,Mannitol,15.0,M9 + HMB
240623_growth_phenotyping_ct_F9,Mannitol,15.0,M9 + HMB
240623_growth_phenotyping_ct_F9,Mannitol,15.0,M9 + HMB
240623_growth_phenotyping_ct_F6,Malate,22.2,M9 + HMB
240623_growth_phenotyping_ct_F6,Malate,22.2,M9 + HMB
240623_growth_phenotyping_ct_F6,Malate,22.2,M9 + HMB
240623_growth_phenotyping_ct_D12,L-glutamate,18.0,M9 + HMB
240623_growth_phenotyping_ct_D12,L-glutamate,18.0,M9 + HMB
240623_growth_phenotyping_ct_D12,L-glutamate,18.0,M9 + HMB
240623_growth_phenotyping_ct_A3,Acetate,45.0,M9 + HMB
240623_growth_phenotyping_ct_A3,Acetate,45.0,M9 + HMB
240623_growth_phenotyping_ct_A3,Acetate,45.0,M9 + HMB
240623_growth_phenotyping_ct_E12,L-lactate,30.0,M9 + HMB
240623_growth_phenotyping_ct_E12,L-lactate,30.0,M9 + HMB
240623_growth_phenotyping_ct_E12,L-lactate,30.0,M9 + HMB
240623_growth_phenotyping_ct_F12,Mannose,15.0,M9 + HMB
240623_growth_phenotyping_ct_F12,Mannose,15.0,M9 + HMB
240623_growth_phenotyping_ct_F12,Mannose,15.0,M9 + HMB
240623_growth_phenotyping_ct_A6,Adenosine,9.0,M9 + HMB
240623_growth_phenotyping_ct_A6,Adenosine,9.0,M9 + HMB
240623_growth_phenotyping_ct_A6,Adenosine,9.0,M9 + HMB
240623_growth_phenotyping_ct_G6,Orotate,18.0,M9 + HMB
240623_growth_phenotyping_ct_G6,Orotate,18.0,M9 + HMB
240623_growth_phenotyping_ct_G6,Orotate,18.0,M9 + HMB
240623_growth_phenotyping_ct_D3,L-alanine,30.0,M9 + HMB
240623_growth_phenotyping_ct_D3,L-alanine,30.0,M9 + HMB
240623_growth_phenotyping_ct_D3,L-alanine,30.0,M9 + HMB
240623_growth_phenotyping_ct_G3,Myo-inositol,15.0,M9 + HMB
240623_growth_phenotyping_ct_G3,Myo-inositol,15.0,M9 + HMB
240623_growth_phenotyping_ct_G3,Myo-inositol,15.0,M9 + HMB
240623_growth_phenotyping_ct_G9,Phenylalanine,10.0,M9 + HMB
240623_growth_phenotyping_ct_G9,Phenylalanine,10.0,M9 + HMB
240623_growth_phenotyping_ct_G9,Phenylalanine,10.0,M9 + HMB
240623_growth_phenotyping_ct_F3,L-leucine,15.0,M9 + HMB
240623_growth_phenotyping_ct_F3,L-leucine,15.0,M9 + HMB
240623_growth_phenotyping_ct_F3,L-leucine,15.0,M9 + HMB
240623_growth_phenotyping_ct_A12,D-arabinose,18.0,M9 + HMB
240623_growth_phenotyping_ct_A12,D-arabinose,18.0,M9 + HMB
240623_growth_phenotyping_ct_A12,D-arabinose,18.0,M9 + HMB
240623_growth_phenotyping_ct_E3,L-glutamine,18.0,M9 + HMB
240623_growth_phenotyping_ct_E3,L-glutamine,18.0,M9 + HMB
240623_growth_phenotyping_ct_E3,L-glutamine,18.0,M9 + HMB
240623_growth_phenotyping_ct_E9,L-isoleucine,15.0,M9 + HMB
240623_growth_phenotyping_ct_E9,L-isoleucine,15.0,M9 + HMB
240623_growth_phenotyping_ct_E9,L-isoleucine,15.0,M9 + HMB
240623_growth_phenotyping_ct_H3,Ribose,18.0,M9 + HMB
240623_growth_phenotyping_ct_H3,Ribose,18.0,M9 + HMB
240623_growth_phenotyping_ct_H3,Ribose,18.0,M9 + HMB
240623_growth_phenotyping_ml_E6,L-histidine,15.0,M9 + HMB
240623_growth_phenotyping_ml_E6,L-histidine,15.0,M9 + HMB
240623_growth_phenotyping_ml_E6,L-histidine,15.0,M9 + HMB
240623_growth_phenotyping_ml_B12,Fumarate,22.5,M9 + HMB
240623_growth_phenotyping_ml_B12,Fumarate,22.5,M9 + HMB
240623_growth_phenotyping_ml_B12,Fumarate,22.5,M9 + HMB
240623_growth_phenotyping_ml_B9,Formate,90.0,M9 + HMB
240623_growth_phenotyping_ml_B9,Formate,90.0,M9 + HMB
240623_growth_phenotyping_ml_B9,Formate,90.0,M9 + HMB
240623_growth_phenotyping_ml_D6,L-arginine,15.0,M9 + HMB
240623_growth_phenotyping_ml_D6,L-arginine,15.0,M9 + HMB
240623_growth_phenotyping_ml_D6,L-arginine,15.0,M9 + HMB
240623_growth_phenotyping_ml_H6,Sucrose,7.5,M9 + HMB
240623_growth_phenotyping_ml_H6,Sucrose,7.5,M9 + HMB
240623_growth_phenotyping_ml_H6,Sucrose,7.5,M9 + HMB
240623_growth_phenotyping_ml_C9,Glycine,45.0,M9 + HMB
240623_growth_phenotyping_ml_C9,Glycine,45.0,M9 + HMB
240623_growth_phenotyping_ml_C9,Glycine,45.0,M9 + HMB
240623_growth_phenotyping_ml_G12,Proline,18.0,M9 + HMB
240623_growth_phenotyping_ml_G12,Proline,18.0,M9 + HMB
240623_growth_phenotyping_ml_G12,Proline,18.0,M9 + HMB
240623_growth_phenotyping_ml_B6,D-xylose,18.0,M9 + HMB
240623_growth_phenotyping_ml_B6,D-xylose,18.0,M9 + HMB
240623_growth_phenotyping_ml_B6,D-xylose,18.0,M9 + HMB
240623_growth_phenotyping_ml_A9,Cysteine,30.0,M9 + HMB
240623_growth_phenotyping_ml_A9,Cysteine,30.0,M9 + HMB
240623_growth_phenotyping_ml_A9,Cysteine,30.0,M9 + HMB
240623_growth_phenotyping_ml_C12,Inosine,9.0,M9 + HMB
240623_growth_phenotyping_ml_C12,Inosine,9.0,M9 + HMB
240623_growth_phenotyping_ml_C12,Inosine,9.0,M9 + HMB
240623_growth_phenotyping_ml_C6,Glycerol,30.0,M9 + HMB
240623_growth_phenotyping_ml_C6,Glycerol,30.0,M9 + HMB
240623_growth_phenotyping_ml_C6,Glycerol,30.0,M9 + HMB
240623_growth_phenotyping_ml_C3,Glutarate,18.0,M9 + HMB
240623_growth_phenotyping_ml_C3,Glutarate,18.0,M9 + HMB
240623_growth_phenotyping_ml_C3,Glutarate,18.0,M9 + HMB
240623_growth_phenotyping_ml_D9,L-aspartate,22.5,M9 + HMB
240623_growth_phenotyping_ml_D9,L-aspartate,22.5,M9 + HMB
240623_growth_phenotyping_ml_D9,L-aspartate,22.5,M9 + HMB
240623_growth_phenotyping_ml_H9,Uridine,10.0,M9 + HMB
240623_growth_phenotyping_ml_H9,Uridine,10.0,M9 + HMB
240623_growth_phenotyping_ml_H9,Uridine,10.0,M9 + HMB
240623_growth_phenotyping_ml_B3,D-glucose,15.0,M9 + HMB
240623_growth_phenotyping_ml_B3,D-glucose,15.0,M9 + HMB
240623_growth_phenotyping_ml_B3,D-glucose,15.0,M9 + HMB
240623_growth_phenotyping_ml_F9,Mannitol,15.0,M9 + HMB
240623_growth_phenotyping_ml_F9,Mannitol,15.0,M9 + HMB
240623_growth_phenotyping_ml_F9,Mannitol,15.0,M9 + HMB
240623_growth_phenotyping_ml_F6,Malate,22.2,M9 + HMB
240623_growth_phenotyping_ml_F6,Malate,22.2,M9 + HMB
240623_growth_phenotyping_ml_F6,Malate,22.2,M9 + HMB
240623_growth_phenotyping_ml_D12,L-glutamate,18.0,M9 + HMB
240623_growth_phenotyping_ml_D12,L-glutamate,18.0,M9 + HMB
240623_growth_phenotyping_ml_D12,L-glutamate,18.0,M9 + HMB
240623_growth_phenotyping_ml_A3,Acetate,45.0,M9 + HMB
240623_growth_phenotyping_ml_A3,Acetate,45.0,M9 + HMB
240623_growth_phenotyping_ml_A3,Acetate,45.0,M9 + HMB
240623_growth_phenotyping_ml_E12,L-lactate,30.0,M9 + HMB
240623_growth_phenotyping_ml_E12,L-lactate,30.0,M9 + HMB
240623_growth_phenotyping_ml_E12,L-lactate,30.0,M9 + HMB
240623_growth_phenotyping_ml_F12,Mannose,15.0,M9 + HMB
240623_growth_phenotyping_ml_F12,Mannose,15.0,M9 + HMB
240623_growth_phenotyping_ml_F12,Mannose,15.0,M9 + HMB
240623_growth_phenotyping_ml_A6,Adenosine,9.0,M9 + HMB
240623_growth_phenotyping_ml_A6,Adenosine,9.0,M9 + HMB
240623_growth_phenotyping_ml_A6,Adenosine,9.0,M9 + HMB
240623_growth_phenotyping_ml_G6,Orotate,18.0,M9 + HMB
240623_growth_phenotyping_ml_G6,Orotate,18.0,M9 + HMB
240623_growth_phenotyping_ml_G6,Orotate,18.0,M9 + HMB
240623_growth_phenotyping_ml_D3,L-alanine,30.0,M9 + HMB
240623_growth_phenotyping_ml_D3,L-alanine,30.0,M9 + HMB
240623_growth_phenotyping_ml_D3,L-alanine,30.0,M9 + HMB
240623_growth_phenotyping_ml_G3,Myo-inositol,15.0,M9 + HMB
240623_growth_phenotyping_ml_G3,Myo-inositol,15.0,M9 + HMB
240623_growth_phenotyping_ml_G3,Myo-inositol,15.0,M9 + HMB
240623_growth_phenotyping_ml_G9,Phenylalanine,10.0,M9 + HMB
240623_growth_phenotyping_ml_G9,Phenylalanine,10.0,M9 + HMB
240623_growth_phenotyping_ml_G9,Phenylalanine,10.0,M9 + HMB
240623_growth_phenotyping_ml_F3,L-leucine,15.0,M9 + HMB
240623_growth_phenotyping_ml_F3,L-leucine,15.0,M9 + HMB
240623_growth_phenotyping_ml_F3,L-leucine,15.0,M9 + HMB
240623_growth_phenotyping_ml_A12,D-arabinose,18.0,M9 + HMB
240623_growth_phenotyping_ml_A12,D-arabinose,18.0,M9 + HMB
240623_growth_phenotyping_ml_A12,D-arabinose,18.0,M9 + HMB
240623_growth_phenotyping_ml_E3,L-glutamine,18.0,M9 + HMB
240623_growth_phenotyping_ml_E3,L-glutamine,18.0,M9 + HMB
240623_growth_phenotyping_ml_E3,L-glutamine,18.0,M9 + HMB
240623_growth_phenotyping_ml_E9,L-isoleucine,15.0,M9 + HMB
240623_growth_phenotyping_ml_E9,L-isoleucine,15.0,M9 + HMB
240623_growth_phenotyping_ml_E9,L-isoleucine,15.0,M9 + HMB
240623_growth_phenotyping_ml_H3,Ribose,18.0,M9 + HMB
240623_growth_phenotyping_ml_H3,Ribose,18.0,M9 + HMB
240623_growth_phenotyping_ml_H3,Ribose,18.0,M9 + HMB
240623_growth_phenotyping_at_E6,L-histidine,15.0,M9 + HMB
240623_growth_phenotyping_at_E6,L-histidine,15.0,M9 + HMB
240623_growth_phenotyping_at_E6,L-histidine,15.0,M9 + HMB
240623_growth_phenotyping_at_B12,Fumarate,22.5,M9 + HMB
240623_growth_phenotyping_at_B12,Fumarate,22.5,M9 + HMB
240623_growth_phenotyping_at_B12,Fumarate,22.5,M9 + HMB
240623_growth_phenotyping_at_B9,Formate,90.0,M9 + HMB
240623_growth_phenotyping_at_B9,Formate,90.0,M9 + HMB
240623_growth_phenotyping_at_B9,Formate,90.0,M9 + HMB
240623_growth_phenotyping_at_D6,L-arginine,15.0,M9 + HMB
240623_growth_phenotyping_at_D6,L-arginine,15.0,M9 + HMB
240623_growth_phenotyping_at_D6,L-arginine,15.0,M9 + HMB
240623_growth_phenotyping_at_H6,Sucrose,7.5,M9 + HMB
240623_growth_phenotyping_at_H6,Sucrose,7.5,M9 + HMB
240623_growth_phenotyping_at_H6,Sucrose,7.5,M9 + HMB
240623_growth_phenotyping_at_C9,Glycine,45.0,M9 + HMB
240623_growth_phenotyping_at_C9,Glycine,45.0,M9 + HMB
240623_growth_phenotyping_at_C9,Glycine,45.0,M9 + HMB
240623_growth_phenotyping_at_G12,Proline,18.0,M9 + HMB
240623_growth_phenotyping_at_G12,Proline,18.0,M9 + HMB
240623_growth_phenotyping_at_G12,Proline,18.0,M9 + HMB
240623_growth_phenotyping_at_B6,D-xylose,18.0,M9 + HMB
240623_growth_phenotyping_at_B6,D-xylose,18.0,M9 + HMB
240623_growth_phenotyping_at_B6,D-xylose,18.0,M9 + HMB
240623_growth_phenotyping_at_A9,Cysteine,30.0,M9 + HMB
240623_growth_phenotyping_at_A9,Cysteine,30.0,M9 + HMB
240623_growth_phenotyping_at_A9,Cysteine,30.0,M9 + HMB
240623_growth_phenotyping_at_C12,Inosine,9.0,M9 + HMB
240623_growth_phenotyping_at_C12,Inosine,9.0,M9 + HMB
240623_growth_phenotyping_at_C12,Inosine,9.0,M9 + HMB
240623_growth_phenotyping_at_C6,Glycerol,30.0,M9 + HMB
240623_growth_phenotyping_at_C6,Glycerol,30.0,M9 + HMB
240623_growth_phenotyping_at_C6,Glycerol,30.0,M9 + HMB
240623_growth_phenotyping_at_C3,Glutarate,18.0,M9 + HMB
240623_growth_phenotyping_at_C3,Glutarate,18.0,M9 + HMB
240623_growth_phenotyping_at_C3,Glutarate,18.0,M9 + HMB
240623_growth_phenotyping_at_D9,L-aspartate,22.5,M9 + HMB
240623_growth_phenotyping_at_D9,L-aspartate,22.5,M9 + HMB
240623_growth_phenotyping_at_D9,L-aspartate,22.5,M9 + HMB
240623_growth_phenotyping_at_H9,Uridine,10.0,M9 + HMB
240623_growth_phenotyping_at_H9,Uridine,10.0,M9 + HMB
240623_growth_phenotyping_at_H9,Uridine,10.0,M9 + HMB
240623_growth_phenotyping_at_B3,D-glucose,15.0,M9 + HMB
240623_growth_phenotyping_at_B3,D-glucose,15.0,M9 + HMB
240623_growth_phenotyping_at_B3,D-glucose,15.0,M9 + HMB
240623_growth_phenotyping_at_F9,Mannitol,15.0,M9 + HMB
240623_growth_phenotyping_at_F9,Mannitol,15.0,M9 + HMB
240623_growth_phenotyping_at_F9,Mannitol,15.0,M9 + HMB
240623_growth_phenotyping_at_F6,Malate,22.2,M9 + HMB
240623_growth_phenotyping_at_F6,Malate,22.2,M9 + HMB
240623_growth_phenotyping_at_F6,Malate,22.2,M9 + HMB
240623_growth_phenotyping_at_D12,L-glutamate,18.0,M9 + HMB
240623_growth_phenotyping_at_D12,L-glutamate,18.0,M9 + HMB
240623_growth_phenotyping_at_D12,L-glutamate,18.0,M9 + HMB
240623_growth_phenotyping_at_A3,Acetate,45.0,M9 + HMB
240623_growth_phenotyping_at_A3,Acetate,45.0,M9 + HMB
240623_growth_phenotyping_at_A3,Acetate,45.0,M9 + HMB
240623_growth_phenotyping_at_E12,L-lactate,30.0,M9 + HMB
240623_growth_phenotyping_at_E12,L-lactate,30.0,M9 + HMB
240623_growth_phenotyping_at_E12,L-lactate,30.0,M9 + HMB
240623_growth_phenotyping_at_F12,Mannose,15.0,M9 + HMB
240623_growth_phenotyping_at_F12,Mannose,15.0,M9 + HMB
240623_growth_phenotyping_at_F12,Mannose,15.0,M9 + HMB
240623_growth_phenotyping_at_A6,Adenosine,9.0,M9 + HMB
240623_growth_phenotyping_at_A6,Adenosine,9.0,M9 + HMB
240623_growth_phenotyping_at_A6,Adenosine,9.0,M9 + HMB
240623_growth_phenotyping_at_G6,Orotate,18.0,M9 + HMB
240623_growth_phenotyping_at_G6,Orotate,18.0,M9 + HMB
240623_growth_phenotyping_at_G6,Orotate,18.0,M9 + HMB
240623_growth_phenotyping_at_D3,L-alanine,30.0,M9 + HMB
240623_growth_phenotyping_at_D3,L-alanine,30.0,M9 + HMB
240623_growth_phenotyping_at_D3,L-alanine,30.0,M9 + HMB
240623_growth_phenotyping_at_G3,Myo-inositol,15.0,M9 + HMB
240623_growth_phenotyping_at_G3,Myo-inositol,15.0,M9 + HMB
240623_growth_phenotyping_at_G3,Myo-inositol,15.0,M9 + HMB
240623_growth_phenotyping_at_G9,Phenylalanine,10.0,M9 + HMB
240623_growth_phenotyping_at_G9,Phenylalanine,10.0,M9 + HMB
240623_growth_phenotyping_at_G9,Phenylalanine,10.0,M9 + HMB
240623_growth_phenotyping_at_F3,L-leucine,15.0,M9 + HMB
240623_growth_phenotyping_at_F3,L-leucine,15.0,M9 + HMB
240623_growth_phenotyping_at_F3,L-leucine,15.0,M9 + HMB
240623_growth_phenotyping_at_A12,D-arabinose,18.0,M9 + HMB
240623_growth_phenotyping_at_A12,D-arabinose,18.0,M9 + HMB
240623_growth_phenotyping_at_A12,D-arabinose,18.0,M9 + HMB
240623_growth_phenotyping_at_E3,L-glutamine,18.0,M9 + HMB
240623_growth_phenotyping_at_E3,L-glutamine,18.0,M9 + HMB
240623_growth_phenotyping_at_E3,L-glutamine,18.0,M9 + HMB
240623_growth_phenotyping_at_E9,L-isoleucine,15.0,M9 + HMB
240623_growth_phenotyping_at_E9,L-isoleucine,15.0,M9 + HMB
240623_growth_phenotyping_at_E9,L-isoleucine,15.0,M9 + HMB
240623_growth_phenotyping_at_H3,Ribose,18.0,M9 + HMB
240623_growth_phenotyping_at_H3,Ribose,18.0,M9 + HMB
240623_growth_phenotyping_at_H3,Ribose,18.0,M9 + HMB
240623_growth_phenotyping_oa_E6,L-histidine,15.0,M9 + HMB
240623_growth_phenotyping_oa_E6,L-histidine,15.0,M9 + HMB
240623_growth_phenotyping_oa_E6,L-histidine,15.0,M9 + HMB
240623_growth_phenotyping_oa_B12,Fumarate,22.5,M9 + HMB
240623_growth_phenotyping_oa_B12,Fumarate,22.5,M9 + HMB
240623_growth_phenotyping_oa_B12,Fumarate,22.5,M9 + HMB
240623_growth_phenotyping_oa_B9,Formate,90.0,M9 + HMB
240623_growth_phenotyping_oa_B9,Formate,90.0,M9 + HMB
240623_growth_phenotyping_oa_B9,Formate,90.0,M9 + HMB
240623_growth_phenotyping_oa_D6,L-arginine,15.0,M9 + HMB
240623_growth_phenotyping_oa_D6,L-arginine,15.0,M9 + HMB
240623_growth_phenotyping_oa_D6,L-arginine,15.0,M9 + HMB
240623_growth_phenotyping_oa_H6,Sucrose,7.5,M9 + HMB
240623_growth_phenotyping_oa_H6,Sucrose,7.5,M9 + HMB
