linegroup,inhibitor,inhibitor_conc
240623_growth_phenotyping_ct_A1,antibac,0
240623_growth_phenotyping_ct_A2,antibac,0
240623_growth_phenotyping_ct_A3,antibac,0
240623_growth_phenotyping_ct_D10,,0
240623_growth_phenotyping_ct_D11,,0
240623_growth_phenotyping_ct_D12,,0
240623_growth_phenotyping_ct_G10,,0
240623_growth_phenotyping_ct_G11,,0
240623_growth_phenotyping_ct_G12,,0
240623_growth_phenotyping_ct_E4,,0
240623_growth_phenotyping_ct_E5,,0
240623_growth_phenotyping_ct_E6,,0
240623_growth_phenotyping_ct_C4,,0
240623_growth_phenotyping_ct_C5,,0
240623_growth_phenotyping_ct_C6,,0
240623_growth_phenotyping_ct_H4,,0
240623_growth_phenotyping_ct_H5,,0
240623_growth_phenotyping_ct_H6,,0
240623_growth_phenotyping_ct_C7,,0
240623_growth_phenotyping_ct_C8,,0
240623_growth_phenotyping_ct_C9,,0
240623_growth_phenotyping_ct_B7,,0
240623_growth_phenotyping_ct_B8,,0
240623_growth_phenotyping_ct_B9,,0
240623_growth_phenotyping_ct_G7,,0
240623_growth_phenotyping_ct_G8,,0
240623_growth_phenotyping_ct_G9,,0
240623_growth_phenotyping_ct_A10,,0
240623_growth_phenotyping_ct_A11,,0
240623_growth_phenotyping_ct_A12,,0
240623_growth_phenotyping_ct_C10,,0
240623_growth_phenotyping_ct_C11,,0
240623_growth_phenotyping_ct_C12,,0
240623_growth_phenotyping_ct_D4,,0
240623_growth_phenotyping_ct_D5,,0
240623_growth_phenotyping_ct_D6,,0
240623_growth_phenotyping_ct_B1,,0
240623_growth_phenotyping_ct_B2,,0
240623_growth_phenotyping_ct_B3,,0
240623_growth_phenotyping_ct_F10,,0
240623_growth_phenotyping_ct_F11,,0
240623_growth_phenotyping_ct_F12,,0
240623_growth_phenotyping_ct_G4,,0
240623_growth_phenotyping_ct_G5,,0
240623_growth_phenotyping_ct_G6,,0
240623_growth_phenotyping_ct_A7,,0
240623_growth_phenotyping_ct_A8,,0
240623_growth_phenotyping_ct_A9,,0
240623_growth_phenotyping_ct_E1,,0
240623_growth_phenotyping_ct_E2,,0
240623_growth_phenotyping_ct_E3,,0
240623_growth_phenotyping_ct_B4,,0
240623_growth_phenotyping_ct_B5,,0
240623_growth_phenotyping_ct_B6,,0
240623_growth_phenotyping_ct_F7,,0
240623_growth_phenotyping_ct_F8,,0
240623_growth_phenotyping_ct_F9,,0
240623_growth_phenotyping_ct_A4,,0
240623_growth_phenotyping_ct_A5,,0
240623_growth_phenotyping_ct_A6,,0
240623_growth_phenotyping_ct_D7,,0
240623_growth_phenotyping_ct_D8,,0
240623_growth_phenotyping_ct_D9,,0
240623_growth_phenotyping_ct_F4,,0
240623_growth_phenotyping_ct_F5,,0
240623_growth_phenotyping_ct_F6,,0
240623_growth_phenotyping_ct_G1,,0
240623_growth_phenotyping_ct_G2,,0
240623_growth_phenotyping_ct_G3,,0
240623_growth_phenotyping_ct_E7,,0
240623_growth_phenotyping_ct_E8,,0
240623_growth_phenotyping_ct_E9,,0
240623_growth_phenotyping_ct_F1,,0
240623_growth_phenotyping_ct_F2,,0
240623_growth_phenotyping_ct_F3,,0
240623_growth_phenotyping_ct_D1,,0
240623_growth_phenotyping_ct_D2,,0
240623_growth_phenotyping_ct_D3,,0
240623_growth_phenotyping_ct_C1,,0
240623_growth_phenotyping_ct_C2,,0
240623_growth_phenotyping_ct_C3,,0
240623_growth_phenotyping_ct_B10,,0
240623_growth_phenotyping_ct_B11,,0
240623_growth_phenotyping_ct_B12,,0
240623_growth_phenotyping_ct_H1,,0
240623_growth_phenotyping_ct_H2,,0
240623_growth_phenotyping_ct_H3,,0
240623_growth_phenotyping_ct_H7,,0
240623_growth_phenotyping_ct_H8,,0
240623_growth_phenotyping_ct_H9,,0
240623_growth_phenotyping_ct_E10,,0
240623_growth_phenotyping_ct_E11,,0
240623_growth_phenotyping_ct_E12,,0
240623_growth_phenotyping_ml_A1,,0
240623_growth_phenotyping_ml_A2,,0
240623_growth_phenotyping_ml_A3,,0
240623_growth_phenotyping_ml_D10,,0
240623_growth_phenotyping_ml_D11,,0
240623_growth_phenotyping_ml_D12,,0
240623_growth_phenotyping_ml_G10,,0
240623_growth_phenotyping_ml_G11,,0
240623_growth_phenotyping_ml_G12,,0
240623_growth_phenotyping_ml_E4,,0
240623_growth_phenotyping_ml_E5,,0
240623_growth_phenotyping_ml_E6,,0
240623_growth_phenotyping_ml_C4,,0
240623_growth_phenotyping_ml_C5,,0
240623_growth_phenotyping_ml_C6,,0
240623_growth_phenotyping_ml_H4,,0
240623_growth_phenotyping_ml_H5,,0
240623_growth_phenotyping_ml_H6,,0
240623_growth_phenotyping_ml_C7,,0
240623_growth_phenotyping_ml_C8,,0
240623_growth_phenotyping_ml_C9,,0
240623_growth_phenotyping_ml_B7,,0
240623_growth_phenotyping_ml_B8,,0
240623_growth_phenotyping_ml_B9,,0
240623_growth_phenotyping_ml_G7,,0
240623_growth_phenotyping_ml_G8,,0
240623_growth_phenotyping_ml_G9,,0
240623_growth_phenotyping_ml_A10,,0
240623_growth_phenotyping_ml_A11,,0
240623_growth_phenotyping_ml_A12,,0
240623_growth_phenotyping_ml_C10,,0
240623_growth_phenotyping_ml_C11,,0
240623_growth_phenotyping_ml_C12,,0
240623_growth_phenotyping_ml_D4,,0
240623_growth_phenotyping_ml_D5,,0
240623_growth_phenotyping_ml_D6,,0
240623_growth_phenotyping_ml_B1,,0
240623_growth_phenotyping_ml_B2,,0
240623_growth_phenotyping_ml_B3,,0
240623_growth_phenotyping_ml_F10,,0
240623_growth_phenotyping_ml_F11,,0
240623_growth_phenotyping_ml_F12,,0
240623_growth_phenotyping_ml_G4,,0
240623_growth_phenotyping_ml_G5,,0
240623_growth_phenotyping_ml_G6,,0
240623_growth_phenotyping_ml_A7,,0
240623_growth_phenotyping_ml_A8,,0
240623_growth_phenotyping_ml_A9,,0
240623_growth_phenotyping_ml_E1,,0
240623_growth_phenotyping_ml_E2,,0
240623_growth_phenotyping_ml_E3,,0
240623_growth_phenotyping_ml_B4,,0
240623_growth_phenotyping_ml_B5,,0
240623_growth_phenotyping_ml_B6,,0
240623_growth_phenotyping_ml_F7,,0
240623_growth_phenotyping_ml_F8,,0
240623_growth_phenotyping_ml_F9,,0
240623_growth_phenotyping_ml_A4,,0
240623_growth_phenotyping_ml_A5,,0
240623_growth_phenotyping_ml_A6,,0
240623_growth_phenotyping_ml_D7,,0
240623_growth_phenotyping_ml_D8,,0
240623_growth_phenotyping_ml_D9,,0
240623_growth_phenotyping_ml_F4,,0
240623_growth_phenotyping_ml_F5,,0
240623_growth_phenotyping_ml_F6,,0
240623_growth_phenotyping_ml_G1,,0
240623_growth_phenotyping_ml_G2,,0
240623_growth_phenotyping_ml_G3,,0
240623_growth_phenotyping_ml_E7,,0
240623_growth_phenotyping_ml_E8,,0
240623_growth_phenotyping_ml_E9,,0
240623_growth_phenotyping_ml_F1,,0
240623_growth_phenotyping_ml_F2,,0
240623_growth_phenotyping_ml_F3,,0
240623_growth_phenotyping_ml_D1,,0
240623_growth_phenotyping_ml_D2,,0
240623_growth_phenotyping_ml_D3,,0
240623_growth_phenotyping_ml_C1,,0
240623_growth_phenotyping_ml_C2,,0
240623_growth_phenotyping_ml_C3,,0
240623_growth_phenotyping_ml_B10,,0
240623_growth_phenotyping_ml_B11,,0
240623_growth_phenotyping_ml_B12,,0
240623_growth_phenotyping_ml_H1,,0
240623_growth_phenotyping_ml_H2,,0
240623_growth_phenotyping_ml_H3,,0
240623_growth_phenotyping_ml_H7,,0
240623_growth_phenotyping_ml_H8,,0
240623_growth_phenotyping_ml_H9,,0
240623_growth_phenotyping_ml_E10,,0
240623_growth_phenotyping_ml_E11,,0
240623_growth_phenotyping_ml_E12,,0
240623_growth_phenotyping_at_A1,,0
240623_growth_phenotyping_at_A2,,0
240623_growth_phenotyping_at_A3,,0
240623_growth_phenotyping_at_D10,,0
240623_growth_phenotyping_at_D11,,0
240623_growth_phenotyping_at_D12,,0
240623_growth_phenotyping_at_G10,,0
240623_growth_phenotyping_at_G11,,0
240623_growth_phenotyping_at_G12,,0
240623_growth_phenotyping_at_E4,,0
240623_growth_phenotyping_at_E5,,0
240623_growth_phenotyping_at_E6,,0
240623_growth_phenotyping_at_C4,,0
240623_growth_phenotyping_at_C5,,0
240623_growth_phenotyping_at_C6,,0
240623_growth_phenotyping_at_H4,,0
240623_growth_phenotyping_at_H5,,0
240623_growth_phenotyping_at_H6,,0
240623_growth_phenotyping_at_C7,,0
240623_growth_phenotyping_at_C8,,0
240623_growth_phenotyping_at_C9,,0
240623_growth_phenotyping_at_B7,,0
240623_growth_phenotyping_at_B8,,0
240623_growth_phenotyping_at_B9,,0
240623_growth_phenotyping_at_G7,,0
