linegroup,species
240623_growth_phenotyping_ct_E6,Comamonas testosteroni
240623_growth_phenotyping_ct_E6,Comamonas testosteroni
240623_growth_phenotyping_ct_E6,Comamonas testosteroni
240623_growth_phenotyping_ct_B12,Comamonas testosteroni
240623_growth_phenotyping_ct_B12,Comamonas testosteroni
240623_growth_phenotyping_ct_B12,Comamonas testosteroni
240623_growth_phenotyping_ct_B9,Comamonas testosteroni
240623_growth_phenotyping_ct_B9,Comamonas testosteroni
240623_growth_phenotyping_ct_B9,Comamonas testosteroni
240623_growth_phenotyping_ct_D6,Comamonas testosteroni
240623_growth_phenotyping_ct_D6,Comamonas testosteroni
240623_growth_phenotyping_ct_D6,Comamonas testosteroni
240623_growth_phenotyping_ct_H6,Comamonas testosteroni
240623_growth_phenotyping_ct_H6,Comamonas testosteroni
240623_growth_phenotyping_ct_H6,Comamonas testosteroni
240623_growth_phenotyping_ct_C9,Comamonas testosteroni
240623_growth_phenotyping_ct_C9,Comamonas testosteroni
240623_growth_phenotyping_ct_C9,Comamonas testosteroni
240623_growth_phenotyping_ct_G12,Comamonas testosteroni
240623_growth_phenotyping_ct_G12,Comamonas testosteroni
240623_growth_phenotyping_ct_G12,Comamonas testosteroni
240623_growth_phenotyping_ct_B6,Comamonas testosteroni
240623_growth_phenotyping_ct_B6,Comamonas testosteroni
240623_growth_phenotyping_ct_B6,Comamonas testosteroni
240623_growth_phenotyping_ct_A9,Comamonas testosteroni
240623_growth_phenotyping_ct_A9,Comamonas testosteroni
240623_growth_phenotyping_ct_A9,Comamonas testosteroni
240623_growth_phenotyping_ct_C12,Comamonas testosteroni
240623_growth_phenotyping_ct_C12,Comamonas testosteroni
240623_growth_phenotyping_ct_C12,Comamonas testosteroni
240623_growth_phenotyping_ct_C6,Comamonas testosteroni
240623_growth_phenotyping_ct_C6,Comamonas testosteroni
240623_growth_phenotyping_ct_C6,Comamonas testosteroni
240623_growth_phenotyping_ct_C3,Comamonas testosteroni
240623_growth_phenotyping_ct_C3,Comamonas testosteroni
240623_growth_phenotyping_ct_C3,Comamonas testosteroni
240623_growth_phenotyping_ct_D9,Comamonas testosteroni
240623_growth_phenotyping_ct_D9,Comamonas testosteroni
240623_growth_phenotyping_ct_D9,Comamonas testosteroni
240623_growth_phenotyping_ct_H9,Comamonas testosteroni
240623_growth_phenotyping_ct_H9,Comamonas testosteroni
240623_growth_phenotyping_ct_H9,Comamonas testosteroni
