linegroup,carbon_source,cs_conc,base_media
130824_citrate_control_ct_ml_A7,Citrate,10.0,M9 + HMB + Biotin + Thimine + L-Proline + L-Cysteine
130824_citrate_control_ct_ml_A8,Citrate,10.0,M9 + HMB + Biotin + Thimine + L-Proline + L-Cysteine
130824_citrate_control_ct_ml_A9,Citrate,10.0,M9 + HMB + Biotin + Thimine + L-Proline + L-Cysteine
130824_citrate_control_ct_ml_A10,Citrate,10.0,M9 + HMB + Biotin + Thimine + L-Proline + L-Cysteine
130824_citrate_control_ct_ml_D3,D-Glucose,15.0,M9 + HMB + Biotin + Thimine + L-Proline + L-Cysteine
130824_citrate_control_ct_ml_D4,D-Glucose,15.0,M9 + HMB + Biotin + Thimine + L-Proline + L-Cysteine
130824_citrate_control_ct_ml_D5,D-Glucose,15.0,M9 + HMB + Biotin + Thimine + L-Proline + L-Cysteine
130824_citrate_control_ct_ml_D6,D-Glucose,15.0,M9 + HMB + Biotin + Thimine + L-Proline + L-Cysteine
130824_citrate_control_ct_ml_H7,Citrate,0.0,M9 + HMB + Biotin + Thimine + L-Proline + L-Cysteine
130824_citrate_control_ct_ml_H8,Citrate,0.0,M9 + HMB + Biotin + Thimine + L-Proline + L-Cysteine
130824_citrate_control_ct_ml_H9,Citrate,0.0,M9 + HMB + Biotin + Thimine + L-Proline + L-Cysteine
130824_citrate_control_ct_ml_H10,Citrate,0.0,M9 + HMB + Biotin + Thimine + L-Proline + L-Cysteine
130824_citrate_control_ct_ml_F7,Citrate,0.3125,M9 + HMB + Biotin + Thimine + L-Proline + L-Cysteine
130824_citrate_control_ct_ml_F8,Citrate,0.3125,M9 + HMB + Biotin + Thimine + L-Proline + L-Cysteine
130824_citrate_control_ct_ml_F9,Citrate,0.3125,M9 + HMB + Biotin + Thimine + L-Proline + L-Cysteine
130824_citrate_control_ct_ml_F10,Citrate,0.3125,M9 + HMB + Biotin + Thimine + L-Proline + L-Cysteine
130824_citrate_control_ct_ml_C7,Citrate,2.5,M9 + HMB + Biotin + Thimine + L-Proline + L-Cysteine
130824_citrate_control_ct_ml_C8,Citrate,2.5,M9 + HMB + Biotin + Thimine + L-Proline + L-Cysteine
130824_citrate_control_ct_ml_C9,Citrate,2.5,M9 + HMB + Biotin + Thimine + L-Proline + L-Cysteine
130824_citrate_control_ct_ml_C10,Citrate,2.5,M9 + HMB + Biotin + Thimine + L-Proline + L-Cysteine
130824_citrate_control_ct_ml_E3,D-Glucose,15.0,M9 + HMB + Biotin + Thimine + L-Proline + L-Cysteine
130824_citrate_control_ct_ml_E4,D-Glucose,15.0,M9 + HMB + Biotin + Thimine + L-Proline + L-Cysteine
130824_citrate_control_ct_ml_E5,D-Glucose,15.0,M9 + HMB + Biotin + Thimine + L-Proline + L-Cysteine
130824_citrate_control_ct_ml_E6,D-Glucose,15.0,M9 + HMB + Biotin + Thimine + L-Proline + L-Cysteine
130824_citrate_control_ct_ml_D7,Citrate,1.25,M9 + HMB + Biotin + Thimine + L-Proline + L-Cysteine
130824_citrate_control_ct_ml_D8,Citrate,1.25,M9 + HMB + Biotin + Thimine + L-Proline + L-Cysteine
130824_citrate_control_ct_ml_D9,Citrate,1.25,M9 + HMB + Biotin + Thimine + L-Proline + L-Cysteine
130824_citrate_control_ct_ml_D10,Citrate,1.25,M9 + HMB + Biotin + Thimine + L-Proline + L-Cysteine
130824_citrate_control_ct_ml_B7,Citrate,5.0,M9 + HMB + Biotin + Thimine + L-Proline + L-Cysteine
130824_citrate_control_ct_ml_B8,Citrate,5.0,M9 + HMB + Biotin + Thimine + L-Proline + L-Cysteine
130824_citrate_control_ct_ml_B9,Citrate,5.0,M9 + HMB + Biotin + Thimine + L-Proline + L-Cysteine
130824_citrate_control_ct_ml_B10,Citrate,5.0,M9 + HMB + Biotin + Thimine + L-Proline + L-Cysteine
130824_citrate_control_ct_ml_H3,D-Glucose,15.0,M9 + HMB + Biotin + Thimine + L-Proline + L-Cysteine
130824_citrate_control_ct_ml_H4,D-Glucose,15.0,M9 + HMB + Biotin + Thimine + L-Proline + L-Cysteine
130824_citrate_control_ct_ml_H5,D-Glucose,15.0,M9 + HMB + Biotin + Thimine + L-Proline + L-Cysteine
130824_citrate_control_ct_ml_H6,D-Glucose,15.0,M9 + HMB + Biotin + Thimine + L-Proline + L-Cysteine
130824_citrate_control_ct_ml_E7,Citrate,0.625,M9 + HMB + Biotin + Thimine + L-Proline + L-Cysteine
130824_citrate_control_ct_ml_E8,Citrate,0.625,M9 + HMB + Biotin + Thimine + L-Proline + L-Cysteine
130824_citrate_control_ct_ml_E9,Citrate,0.625,M9 + HMB + Biotin + Thimine + L-Proline + L-Cysteine
130824_citrate_control_ct_ml_E10,Citrate,0.625,M9 + HMB + Biotin + Thimine + L-Proline + L-Cysteine
130824_citrate_control_ct_ml_C3,D-Glucose,15.0,M9 + HMB + Biotin + Thimine + L-Proline + L-Cysteine
130824_citrate_control_ct_ml_C4,D-Glucose,15.0,M9 + HMB + Biotin + Thimine + L-Proline + L-Cysteine
130824_citrate_control_ct_ml_C5,D-Glucose,15.0,M9 + HMB + Biotin + Thimine + L-Proline + L-Cysteine
130824_citrate_control_ct_ml_C6,D-Glucose,15.0,M9 + HMB + Biotin + Thimine + L-Proline + L-Cysteine
130824_citrate_control_ct_ml_B3,D-Glucose,15.0,M9 + HMB + Biotin + Thimine + L-Proline + L-Cysteine
130824_citrate_control_ct_ml_B4,D-Glucose,15.0,M9 + HMB + Biotin + Thimine + L-Proline + L-Cysteine
130824_citrate_control_ct_ml_B5,D-Glucose,15.0,M9 + HMB + Biotin + Thimine + L-Proline + L-Cysteine
130824_citrate_control_ct_ml_B6,D-Glucose,15.0,M9 + HMB + Biotin + Thimine + L-Proline + L-Cysteine
130824_citrate_control_ct_ml_A3,D-Glucose,15.0,M9 + HMB + Biotin + Thimine + L-Proline + L-Cysteine
130824_citrate_control_ct_ml_A4,D-Glucose,15.0,M9 + HMB + Biotin + Thimine + L-Proline + L-Cysteine
130824_citrate_control_ct_ml_A5,D-Glucose,15.0,M9 + HMB + Biotin + Thimine + L-Proline + L-Cysteine
130824_citrate_control_ct_ml_A6,D-Glucose,15.0,M9 + HMB + Biotin + Thimine + L-Proline + L-Cysteine
130824_citrate_control_ct_ml_G3,D-Glucose,15.0,M9 + HMB + Biotin + Thimine + L-Proline + L-Cysteine
130824_citrate_control_ct_ml_G4,D-Glucose,15.0,M9 + HMB + Biotin + Thimine + L-Proline + L-Cysteine
130824_citrate_control_ct_ml_G5,D-Glucose,15.0,M9 + HMB + Biotin + Thimine + L-Proline + L-Cysteine
130824_citrate_control_ct_ml_G6,D-Glucose,15.0,M9 + HMB + Biotin + Thimine + L-Proline + L-Cysteine
130824_citrate_control_ct_ml_F3,D-Glucose,15.0,M9 + HMB + Biotin + Thimine + L-Proline + L-Cysteine
130824_citrate_control_ct_ml_F4,D-Glucose,15.0,M9 + HMB + Biotin + Thimine + L-Proline + L-Cysteine
130824_citrate_control_ct_ml_F5,D-Glucose,15.0,M9 + HMB + Biotin + Thimine + L-Proline + L-Cysteine
130824_citrate_control_ct_ml_F6,D-Glucose,15.0,M9 + HMB + Biotin + Thimine + L-Proline + L-Cysteine
130824_citrate_control_ct_ml_G7,Citrate,0.15625,M9 + HMB + Biotin + Thimine + L-Proline + L-Cysteine
130824_citrate_control_ct_ml_G8,Citrate,0.15625,M9 + HMB + Biotin + Thimine + L-Proline + L-Cysteine
130824_citrate_control_ct_ml_G9,Citrate,0.15625,M9 + HMB + Biotin + Thimine + L-Proline + L-Cysteine
130824_citrate_control_ct_ml_G10,Citrate,0.15625,M9 + HMB + Biotin + Thimine + L-Proline + L-Cysteine
