linegroup,inhibitor,inhibitor_conc
130824_citrate_control_ct_ml_A7,None,0
130824_citrate_control_ct_ml_A8,None,0
130824_citrate_control_ct_ml_A9,None,0
130824_citrate_control_ct_ml_A10,None,0
130824_citrate_control_ct_ml_D3,None,0
130824_citrate_control_ct_ml_D4,None,0
130824_citrate_control_ct_ml_D5,None,0
130824_citrate_control_ct_ml_D6,None,0
130824_citrate_control_ct_ml_H7,None,0
130824_citrate_control_ct_ml_H8,None,0
130824_citrate_control_ct_ml_H9,None,0
130824_citrate_control_ct_ml_H10,None,0
130824_citrate_control_ct_ml_F7,None,0
130824_citrate_control_ct_ml_F8,None,0
130824_citrate_control_ct_ml_F9,None,0
130824_citrate_control_ct_ml_F10,None,0
130824_citrate_control_ct_ml_C7,None,0
130824_citrate_control_ct_ml_C8,None,0
130824_citrate_control_ct_ml_C9,None,0
130824_citrate_control_ct_ml_C10,None,0
130824_citrate_control_ct_ml_E3,None,0
130824_citrate_control_ct_ml_E4,None,0
130824_citrate_control_ct_ml_E5,None,0
130824_citrate_control_ct_ml_E6,None,0
130824_citrate_control_ct_ml_D7,None,0
130824_citrate_control_ct_ml_D8,None,0
130824_citrate_control_ct_ml_D9,None,0
130824_citrate_control_ct_ml_D10,None,0
130824_citrate_control_ct_ml_B7,None,0
130824_citrate_control_ct_ml_B8,None,0
130824_citrate_control_ct_ml_B9,None,0
130824_citrate_control_ct_ml_B10,None,0
130824_citrate_control_ct_ml_H3,None,0
130824_citrate_control_ct_ml_H4,None,0
130824_citrate_control_ct_ml_H5,None,0
130824_citrate_control_ct_ml_H6,None,0
130824_citrate_control_ct_ml_E7,None,0
130824_citrate_control_ct_ml_E8,None,0
130824_citrate_control_ct_ml_E9,None,0
130824_citrate_control_ct_ml_E10,None,0
130824_citrate_control_ct_ml_C3,None,0
130824_citrate_control_ct_ml_C4,None,0
130824_citrate_control_ct_ml_C5,None,0
130824_citrate_control_ct_ml_C6,None,0
130824_citrate_control_ct_ml_B3,None,0
130824_citrate_control_ct_ml_B4,None,0
130824_citrate_control_ct_ml_B5,None,0
130824_citrate_control_ct_ml_B6,None,0
130824_citrate_control_ct_ml_A3,None,0
130824_citrate_control_ct_ml_A4,None,0
130824_citrate_control_ct_ml_A5,None,0
130824_citrate_control_ct_ml_A6,None,0
130824_citrate_control_ct_ml_G3,None,0
130824_citrate_control_ct_ml_G4,None,0
130824_citrate_control_ct_ml_G5,None,0
130824_citrate_control_ct_ml_G6,None,0
130824_citrate_control_ct_ml_F3,None,0
130824_citrate_control_ct_ml_F4,None,0
130824_citrate_control_ct_ml_F5,None,0
130824_citrate_control_ct_ml_F6,None,0
130824_citrate_control_ct_ml_G7,None,0
130824_citrate_control_ct_ml_G8,None,0
130824_citrate_control_ct_ml_G9,None,0
130824_citrate_control_ct_ml_G10,None,0
