project,exp_ID,linegroup
130824_citrate_control,130824_citrate_control_ct_ml,130824_citrate_control_ct_ml_A7
130824_citrate_control,130824_citrate_control_ct_ml,130824_citrate_control_ct_ml_A8
130824_citrate_control,130824_citrate_control_ct_ml,130824_citrate_control_ct_ml_A9
130824_citrate_control,130824_citrate_control_ct_ml,130824_citrate_control_ct_ml_A10
130824_citrate_control,130824_citrate_control_ct_ml,130824_citrate_control_ct_ml_D3
130824_citrate_control,130824_citrate_control_ct_ml,130824_citrate_control_ct_ml_D4
130824_citrate_control,130824_citrate_control_ct_ml,130824_citrate_control_ct_ml_D5
130824_citrate_control,130824_citrate_control_ct_ml,130824_citrate_control_ct_ml_D6
130824_citrate_control,130824_citrate_control_ct_ml,130824_citrate_control_ct_ml_H7
130824_citrate_control,130824_citrate_control_ct_ml,130824_citrate_control_ct_ml_H8
130824_citrate_control,130824_citrate_control_ct_ml,130824_citrate_control_ct_ml_H9
130824_citrate_control,130824_citrate_control_ct_ml,130824_citrate_control_ct_ml_H10
130824_citrate_control,130824_citrate_control_ct_ml,130824_citrate_control_ct_ml_F7
130824_citrate_control,130824_citrate_control_ct_ml,130824_citrate_control_ct_ml_F8
130824_citrate_control,130824_citrate_control_ct_ml,130824_citrate_control_ct_ml_F9
130824_citrate_control,130824_citrate_control_ct_ml,130824_citrate_control_ct_ml_F10
130824_citrate_control,130824_citrate_control_ct_ml,130824_citrate_control_ct_ml_C7
130824_citrate_control,130824_citrate_control_ct_ml,130824_citrate_control_ct_ml_C8
130824_citrate_control,130824_citrate_control_ct_ml,130824_citrate_control_ct_ml_C9
130824_citrate_control,130824_citrate_control_ct_ml,130824_citrate_control_ct_ml_C10
130824_citrate_control,130824_citrate_control_ct_ml,130824_citrate_control_ct_ml_E3
130824_citrate_control,130824_citrate_control_ct_ml,130824_citrate_control_ct_ml_E4
130824_citrate_control,130824_citrate_control_ct_ml,130824_citrate_control_ct_ml_E5
130824_citrate_control,130824_citrate_control_ct_ml,130824_citrate_control_ct_ml_E6
130824_citrate_control,130824_citrate_control_ct_ml,130824_citrate_control_ct_ml_D7
130824_citrate_control,130824_citrate_control_ct_ml,130824_citrate_control_ct_ml_D8
130824_citrate_control,130824_citrate_control_ct_ml,130824_citrate_control_ct_ml_D9
130824_citrate_control,130824_citrate_control_ct_ml,130824_citrate_control_ct_ml_D10
130824_citrate_control,130824_citrate_control_ct_ml,130824_citrate_control_ct_ml_B7
130824_citrate_control,130824_citrate_control_ct_ml,130824_citrate_control_ct_ml_B8
130824_citrate_control,130824_citrate_control_ct_ml,130824_citrate_control_ct_ml_B9
130824_citrate_control,130824_citrate_control_ct_ml,130824_citrate_control_ct_ml_B10
130824_citrate_control,130824_citrate_control_ct_ml,130824_citrate_control_ct_ml_H3
130824_citrate_control,130824_citrate_control_ct_ml,130824_citrate_control_ct_ml_H4
130824_citrate_control,130824_citrate_control_ct_ml,130824_citrate_control_ct_ml_H5
130824_citrate_control,130824_citrate_control_ct_ml,130824_citrate_control_ct_ml_H6
130824_citrate_control,130824_citrate_control_ct_ml,130824_citrate_control_ct_ml_E7
130824_citrate_control,130824_citrate_control_ct_ml,130824_citrate_control_ct_ml_E8
130824_citrate_control,130824_citrate_control_ct_ml,130824_citrate_control_ct_ml_E9
130824_citrate_control,130824_citrate_control_ct_ml,130824_citrate_control_ct_ml_E10
130824_citrate_control,130824_citrate_control_ct_ml,130824_citrate_control_ct_ml_C3
130824_citrate_control,130824_citrate_control_ct_ml,130824_citrate_control_ct_ml_C4
130824_citrate_control,130824_citrate_control_ct_ml,130824_citrate_control_ct_ml_C5
130824_citrate_control,130824_citrate_control_ct_ml,130824_citrate_control_ct_ml_C6
130824_citrate_control,130824_citrate_control_ct_ml,130824_citrate_control_ct_ml_B3
130824_citrate_control,130824_citrate_control_ct_ml,130824_citrate_control_ct_ml_B4
130824_citrate_control,130824_citrate_control_ct_ml,130824_citrate_control_ct_ml_B5
130824_citrate_control,130824_citrate_control_ct_ml,130824_citrate_control_ct_ml_B6
130824_citrate_control,130824_citrate_control_ct_ml,130824_citrate_control_ct_ml_A3
130824_citrate_control,130824_citrate_control_ct_ml,130824_citrate_control_ct_ml_A4
130824_citrate_control,130824_citrate_control_ct_ml,130824_citrate_control_ct_ml_A5
130824_citrate_control,130824_citrate_control_ct_ml,130824_citrate_control_ct_ml_A6
130824_citrate_control,130824_citrate_control_ct_ml,130824_citrate_control_ct_ml_G3
130824_citrate_control,130824_citrate_control_ct_ml,130824_citrate_control_ct_ml_G4
130824_citrate_control,130824_citrate_control_ct_ml,130824_citrate_control_ct_ml_G5
130824_citrate_control,130824_citrate_control_ct_ml,130824_citrate_control_ct_ml_G6
130824_citrate_control,130824_citrate_control_ct_ml,130824_citrate_control_ct_ml_F3
130824_citrate_control,130824_citrate_control_ct_ml,130824_citrate_control_ct_ml_F4
130824_citrate_control,130824_citrate_control_ct_ml,130824_citrate_control_ct_ml_F5
130824_citrate_control,130824_citrate_control_ct_ml,130824_citrate_control_ct_ml_F6
130824_citrate_control,130824_citrate_control_ct_ml,130824_citrate_control_ct_ml_G7
130824_citrate_control,130824_citrate_control_ct_ml,130824_citrate_control_ct_ml_G8
130824_citrate_control,130824_citrate_control_ct_ml,130824_citrate_control_ct_ml_G9
130824_citrate_control,130824_citrate_control_ct_ml,130824_citrate_control_ct_ml_G10
