linegroup,species
130824_citrate_control_ct_ml_A7,Comamonas testosteroni
130824_citrate_control_ct_ml_A8,Comamonas testosteroni
130824_citrate_control_ct_ml_A9,Comamonas testosteroni
130824_citrate_control_ct_ml_A10,Comamonas testosteroni
130824_citrate_control_ct_ml_D3,Microbacterium liquefaciens
130824_citrate_control_ct_ml_D4,Microbacterium liquefaciens
130824_citrate_control_ct_ml_D5,Microbacterium liquefaciens
130824_citrate_control_ct_ml_D6,Microbacterium liquefaciens
130824_citrate_control_ct_ml_H7,Comamonas testosteroni
130824_citrate_control_ct_ml_H8,Comamonas testosteroni
130824_citrate_control_ct_ml_H9,Comamonas testosteroni
130824_citrate_control_ct_ml_H10,Comamonas testosteroni
130824_citrate_control_ct_ml_F7,Comamonas testosteroni
130824_citrate_control_ct_ml_F8,Comamonas testosteroni
130824_citrate_control_ct_ml_F9,Comamonas testosteroni
130824_citrate_control_ct_ml_F10,Comamonas testosteroni
130824_citrate_control_ct_ml_C7,Comamonas testosteroni
130824_citrate_control_ct_ml_C8,Comamonas testosteroni
130824_citrate_control_ct_ml_C9,Comamonas testosteroni
130824_citrate_control_ct_ml_C10,Comamonas testosteroni
130824_citrate_control_ct_ml_E3,Microbacterium liquefaciens
130824_citrate_control_ct_ml_E4,Microbacterium liquefaciens
130824_citrate_control_ct_ml_E5,Microbacterium liquefaciens
130824_citrate_control_ct_ml_E6,Microbacterium liquefaciens
130824_citrate_control_ct_ml_D7,Comamonas testosteroni
130824_citrate_control_ct_ml_D8,Comamonas testosteroni
130824_citrate_control_ct_ml_D9,Comamonas testosteroni
130824_citrate_control_ct_ml_D10,Comamonas testosteroni
130824_citrate_control_ct_ml_B7,Comamonas testosteroni
130824_citrate_control_ct_ml_B8,Comamonas testosteroni
130824_citrate_control_ct_ml_B9,Comamonas testosteroni
130824_citrate_control_ct_ml_B10,Comamonas testosteroni
130824_citrate_control_ct_ml_H3,Microbacterium liquefaciens
130824_citrate_control_ct_ml_H4,Microbacterium liquefaciens
130824_citrate_control_ct_ml_H5,Microbacterium liquefaciens
130824_citrate_control_ct_ml_H6,Microbacterium liquefaciens
130824_citrate_control_ct_ml_E7,Comamonas testosteroni
130824_citrate_control_ct_ml_E8,Comamonas testosteroni
130824_citrate_control_ct_ml_E9,Comamonas testosteroni
130824_citrate_control_ct_ml_E10,Comamonas testosteroni
130824_citrate_control_ct_ml_C3,Microbacterium liquefaciens
130824_citrate_control_ct_ml_C4,Microbacterium liquefaciens
130824_citrate_control_ct_ml_C5,Microbacterium liquefaciens
130824_citrate_control_ct_ml_C6,Microbacterium liquefaciens
130824_citrate_control_ct_ml_B3,Microbacterium liquefaciens
130824_citrate_control_ct_ml_B4,Microbacterium liquefaciens
130824_citrate_control_ct_ml_B5,Microbacterium liquefaciens
130824_citrate_control_ct_ml_B6,Microbacterium liquefaciens
130824_citrate_control_ct_ml_A3,Microbacterium liquefaciens
130824_citrate_control_ct_ml_A4,Microbacterium liquefaciens
130824_citrate_control_ct_ml_A5,Microbacterium liquefaciens
130824_citrate_control_ct_ml_A6,Microbacterium liquefaciens
130824_citrate_control_ct_ml_G3,Microbacterium liquefaciens
130824_citrate_control_ct_ml_G4,Microbacterium liquefaciens
130824_citrate_control_ct_ml_G5,Microbacterium liquefaciens
130824_citrate_control_ct_ml_G6,Microbacterium liquefaciens
130824_citrate_control_ct_ml_F3,Microbacterium liquefaciens
130824_citrate_control_ct_ml_F4,Microbacterium liquefaciens
130824_citrate_control_ct_ml_F5,Microbacterium liquefaciens
130824_citrate_control_ct_ml_F6,Microbacterium liquefaciens
130824_citrate_control_ct_ml_G7,Comamonas testosteroni
130824_citrate_control_ct_ml_G8,Comamonas testosteroni
130824_citrate_control_ct_ml_G9,Comamonas testosteroni
130824_citrate_control_ct_ml_G10,Comamonas testosteroni
