linegroup,carbon_source,cs_conc,base_media
190523_shaking_1_min_shaking_H1,D-glucose,30,M9 + HMB
190523_shaking_1_min_shaking_H2,D-glucose,30,M9 + HMB
190523_shaking_1_min_shaking_H3,D-glucose,30,M9 + HMB
190523_shaking_1_min_shaking_H4,D-glucose,30,M9 + HMB
190523_shaking_1_min_shaking_C9,D-glucose,5,M9 + HMB
190523_shaking_1_min_shaking_C10,D-glucose,5,M9 + HMB
190523_shaking_1_min_shaking_C11,D-glucose,5,M9 + HMB
190523_shaking_1_min_shaking_C12,D-glucose,5,M9 + HMB
190523_shaking_1_min_shaking_G9,Pyruvate,30,M9 + HMB
190523_shaking_1_min_shaking_G10,Pyruvate,30,M9 + HMB
190523_shaking_1_min_shaking_G11,Pyruvate,30,M9 + HMB
190523_shaking_1_min_shaking_G12,Pyruvate,30,M9 + HMB
190523_shaking_1_min_shaking_C1,D-glucose,30,M9 + HMB
190523_shaking_1_min_shaking_C2,D-glucose,30,M9 + HMB
190523_shaking_1_min_shaking_C3,D-glucose,30,M9 + HMB
190523_shaking_1_min_shaking_C4,D-glucose,30,M9 + HMB
190523_shaking_1_min_shaking_G1,TSB,1,None
190523_shaking_1_min_shaking_G2,TSB,1,None
190523_shaking_1_min_shaking_G3,TSB,1,None
190523_shaking_1_min_shaking_G4,TSB,1,None
190523_shaking_1_min_shaking_F1,TSB,1,None
190523_shaking_1_min_shaking_F2,TSB,1,None
190523_shaking_1_min_shaking_F3,TSB,1,None
190523_shaking_1_min_shaking_F4,TSB,1,None
190523_shaking_1_min_shaking_A1,D-glucose,30,M9 + HMB
190523_shaking_1_min_shaking_A2,D-glucose,30,M9 + HMB
190523_shaking_1_min_shaking_A3,D-glucose,30,M9 + HMB
190523_shaking_1_min_shaking_A4,D-glucose,30,M9 + HMB
190523_shaking_1_min_shaking_D1,D-glucose,30,M9 + HMB
190523_shaking_1_min_shaking_D2,D-glucose,30,M9 + HMB
190523_shaking_1_min_shaking_D3,D-glucose,30,M9 + HMB
190523_shaking_1_min_shaking_D4,D-glucose,30,M9 + HMB
190523_shaking_1_min_shaking_B5,Citrate,15,M9 + HMB
190523_shaking_1_min_shaking_B6,Citrate,15,M9 + HMB
190523_shaking_1_min_shaking_B7,Citrate,15,M9 + HMB
190523_shaking_1_min_shaking_B8,Citrate,15,M9 + HMB
190523_shaking_1_min_shaking_F5,TSB,1,None
190523_shaking_1_min_shaking_F6,TSB,1,None
190523_shaking_1_min_shaking_F7,TSB,1,None
190523_shaking_1_min_shaking_F8,TSB,1,None
190523_shaking_1_min_shaking_E5,D-glucose,15,M9 + HMB
190523_shaking_1_min_shaking_E6,D-glucose,15,M9 + HMB
190523_shaking_1_min_shaking_E7,D-glucose,15,M9 + HMB
190523_shaking_1_min_shaking_E8,D-glucose,15,M9 + HMB
190523_shaking_1_min_shaking_E9,D-glucose,15,M9 + HMB
190523_shaking_1_min_shaking_E10,D-glucose,15,M9 + HMB
190523_shaking_1_min_shaking_E11,D-glucose,15,M9 + HMB
190523_shaking_1_min_shaking_E12,D-glucose,15,M9 + HMB
190523_shaking_1_min_shaking_H9,D-glucose,5,M9 + HMB
190523_shaking_1_min_shaking_H10,D-glucose,5,M9 + HMB
190523_shaking_1_min_shaking_H11,D-glucose,5,M9 + HMB
190523_shaking_1_min_shaking_H12,D-glucose,5,M9 + HMB
190523_shaking_1_min_shaking_F9,TSB,1,None
190523_shaking_1_min_shaking_F10,TSB,1,None
190523_shaking_1_min_shaking_F11,TSB,1,None
190523_shaking_1_min_shaking_F12,TSB,1,None
190523_shaking_1_min_shaking_B9,Citrate,5,M9 + HMB
190523_shaking_1_min_shaking_B10,Citrate,5,M9 + HMB
190523_shaking_1_min_shaking_B11,Citrate,5,M9 + HMB
190523_shaking_1_min_shaking_B12,Citrate,5,M9 + HMB
190523_shaking_1_min_shaking_H5,D-glucose,15,M9 + HMB
190523_shaking_1_min_shaking_H6,D-glucose,15,M9 + HMB
190523_shaking_1_min_shaking_H7,D-glucose,15,M9 + HMB
190523_shaking_1_min_shaking_H8,D-glucose,15,M9 + HMB
190523_shaking_1_min_shaking_G5,TSB,1,None
190523_shaking_1_min_shaking_G6,TSB,1,None
190523_shaking_1_min_shaking_G7,TSB,1,None
190523_shaking_1_min_shaking_G8,TSB,1,None
190523_shaking_1_min_shaking_A5,D-glucose,15,M9 + HMB
190523_shaking_1_min_shaking_A6,D-glucose,15,M9 + HMB
190523_shaking_1_min_shaking_A7,D-glucose,15,M9 + HMB
190523_shaking_1_min_shaking_A8,D-glucose,15,M9 + HMB
190523_shaking_1_min_shaking_B1,Citrate,30,M9 + HMB
190523_shaking_1_min_shaking_B2,Citrate,30,M9 + HMB
190523_shaking_1_min_shaking_B3,Citrate,30,M9 + HMB
190523_shaking_1_min_shaking_B4,Citrate,30,M9 + HMB
190523_shaking_1_min_shaking_D9,D-glucose,5,M9 + HMB
190523_shaking_1_min_shaking_D10,D-glucose,5,M9 + HMB
190523_shaking_1_min_shaking_D11,D-glucose,5,M9 + HMB
190523_shaking_1_min_shaking_D12,D-glucose,5,M9 + HMB
190523_shaking_1_min_shaking_A9,D-glucose,5,M9 + HMB
190523_shaking_1_min_shaking_A10,D-glucose,5,M9 + HMB
190523_shaking_1_min_shaking_A11,D-glucose,5,M9 + HMB
190523_shaking_1_min_shaking_A12,D-glucose,5,M9 + HMB
190523_shaking_1_min_shaking_D5,D-glucose,15,M9 + HMB
190523_shaking_1_min_shaking_D6,D-glucose,15,M9 + HMB
190523_shaking_1_min_shaking_D7,D-glucose,15,M9 + HMB
190523_shaking_1_min_shaking_D8,D-glucose,15,M9 + HMB
190523_shaking_1_min_shaking_C5,D-glucose,15,M9 + HMB
190523_shaking_1_min_shaking_C6,D-glucose,15,M9 + HMB
190523_shaking_1_min_shaking_C7,D-glucose,15,M9 + HMB
190523_shaking_1_min_shaking_C8,D-glucose,15,M9 + HMB
190523_shaking_1_min_shaking_E1,D-glucose,30,M9 + HMB
190523_shaking_1_min_shaking_E2,D-glucose,30,M9 + HMB
190523_shaking_1_min_shaking_E3,D-glucose,30,M9 + HMB
190523_shaking_1_min_shaking_E4,D-glucose,30,M9 + HMB
