linegroup,inhibitor,inhibitor_conc
190523_shaking_1_min_shaking_H1,None,0
190523_shaking_1_min_shaking_H2,None,0
190523_shaking_1_min_shaking_H3,None,0
190523_shaking_1_min_shaking_H4,None,0
190523_shaking_1_min_shaking_C9,None,0
190523_shaking_1_min_shaking_C10,None,0
190523_shaking_1_min_shaking_C11,None,0
190523_shaking_1_min_shaking_C12,None,0
190523_shaking_1_min_shaking_G9,None,0
190523_shaking_1_min_shaking_G10,None,0
190523_shaking_1_min_shaking_G11,None,0
190523_shaking_1_min_shaking_G12,None,0
190523_shaking_1_min_shaking_C1,None,0
190523_shaking_1_min_shaking_C2,None,0
190523_shaking_1_min_shaking_C3,None,0
190523_shaking_1_min_shaking_C4,None,0
190523_shaking_1_min_shaking_G1,None,0
190523_shaking_1_min_shaking_G2,None,0
190523_shaking_1_min_shaking_G3,None,0
190523_shaking_1_min_shaking_G4,None,0
190523_shaking_1_min_shaking_F1,None,0
190523_shaking_1_min_shaking_F2,None,0
190523_shaking_1_min_shaking_F3,None,0
190523_shaking_1_min_shaking_F4,None,0
190523_shaking_1_min_shaking_A1,None,0
190523_shaking_1_min_shaking_A2,None,0
190523_shaking_1_min_shaking_A3,None,0
190523_shaking_1_min_shaking_A4,None,0
190523_shaking_1_min_shaking_D1,None,0
190523_shaking_1_min_shaking_D2,None,0
190523_shaking_1_min_shaking_D3,None,0
190523_shaking_1_min_shaking_D4,None,0
190523_shaking_1_min_shaking_B5,None,0
190523_shaking_1_min_shaking_B6,None,0
190523_shaking_1_min_shaking_B7,None,0
190523_shaking_1_min_shaking_B8,None,0
190523_shaking_1_min_shaking_F5,None,0
190523_shaking_1_min_shaking_F6,None,0
190523_shaking_1_min_shaking_F7,None,0
190523_shaking_1_min_shaking_F8,None,0
190523_shaking_1_min_shaking_E5,None,0
190523_shaking_1_min_shaking_E6,None,0
190523_shaking_1_min_shaking_E7,None,0
190523_shaking_1_min_shaking_E8,None,0
190523_shaking_1_min_shaking_E9,None,0
190523_shaking_1_min_shaking_E10,None,0
190523_shaking_1_min_shaking_E11,None,0
190523_shaking_1_min_shaking_E12,None,0
190523_shaking_1_min_shaking_H9,None,0
190523_shaking_1_min_shaking_H10,None,0
190523_shaking_1_min_shaking_H11,None,0
190523_shaking_1_min_shaking_H12,None,0
190523_shaking_1_min_shaking_F9,None,0
190523_shaking_1_min_shaking_F10,None,0
190523_shaking_1_min_shaking_F11,None,0
190523_shaking_1_min_shaking_F12,None,0
190523_shaking_1_min_shaking_B9,None,0
190523_shaking_1_min_shaking_B10,None,0
190523_shaking_1_min_shaking_B11,None,0
190523_shaking_1_min_shaking_B12,None,0
190523_shaking_1_min_shaking_H5,None,0
190523_shaking_1_min_shaking_H6,None,0
190523_shaking_1_min_shaking_H7,None,0
190523_shaking_1_min_shaking_H8,None,0
190523_shaking_1_min_shaking_G5,None,0
190523_shaking_1_min_shaking_G6,None,0
190523_shaking_1_min_shaking_G7,None,0
190523_shaking_1_min_shaking_G8,None,0
190523_shaking_1_min_shaking_A5,None,0
190523_shaking_1_min_shaking_A6,None,0
190523_shaking_1_min_shaking_A7,None,0
190523_shaking_1_min_shaking_A8,None,0
190523_shaking_1_min_shaking_B1,None,0
190523_shaking_1_min_shaking_B2,None,0
190523_shaking_1_min_shaking_B3,None,0
190523_shaking_1_min_shaking_B4,None,0
190523_shaking_1_min_shaking_D9,None,0
190523_shaking_1_min_shaking_D10,None,0
190523_shaking_1_min_shaking_D11,None,0
190523_shaking_1_min_shaking_D12,None,0
190523_shaking_1_min_shaking_A9,None,0
190523_shaking_1_min_shaking_A10,None,0
190523_shaking_1_min_shaking_A11,None,0
190523_shaking_1_min_shaking_A12,None,0
190523_shaking_1_min_shaking_D5,None,0
190523_shaking_1_min_shaking_D6,None,0
190523_shaking_1_min_shaking_D7,None,0
190523_shaking_1_min_shaking_D8,None,0
190523_shaking_1_min_shaking_C5,None,0
190523_shaking_1_min_shaking_C6,None,0
190523_shaking_1_min_shaking_C7,None,0
190523_shaking_1_min_shaking_C8,None,0
190523_shaking_1_min_shaking_E1,None,0
190523_shaking_1_min_shaking_E2,None,0
190523_shaking_1_min_shaking_E3,None,0
190523_shaking_1_min_shaking_E4,None,0
