linegroup,time,measurement
190523_shaking_1_min_shaking_H1,0.017222222222222226,0.143
190523_shaking_1_min_shaking_H1,0.35055555555555556,0.161
190523_shaking_1_min_shaking_H1,0.6838888888888889,0.165
190523_shaking_1_min_shaking_H1,1.0172222222222222,0.166
190523_shaking_1_min_shaking_H1,1.3505555555555555,0.17
190523_shaking_1_min_shaking_H1,1.6838888888888888,0.176
190523_shaking_1_min_shaking_H1,2.0172222222222222,0.179
190523_shaking_1_min_shaking_H1,2.3505555555555557,0.181
190523_shaking_1_min_shaking_H1,2.6838888888888888,0.185
190523_shaking_1_min_shaking_H1,3.0172222222222222,0.191
190523_shaking_1_min_shaking_H1,3.3505555555555557,0.199
190523_shaking_1_min_shaking_H1,3.6838888888888888,0.207
190523_shaking_1_min_shaking_H1,4.017222222222222,0.214
190523_shaking_1_min_shaking_H1,4.350555555555556,0.22
190523_shaking_1_min_shaking_H1,4.683888888888889,0.225
190523_shaking_1_min_shaking_H1,5.017222222222222,0.233
190523_shaking_1_min_shaking_H1,5.350555555555556,0.248
190523_shaking_1_min_shaking_H1,5.683888888888889,0.253
190523_shaking_1_min_shaking_H1,6.017222222222222,0.265
190523_shaking_1_min_shaking_H1,6.350555555555556,0.275
190523_shaking_1_min_shaking_H1,6.683888888888889,0.287
190523_shaking_1_min_shaking_H1,7.017222222222222,0.296
190523_shaking_1_min_shaking_H1,7.350555555555556,0.304
190523_shaking_1_min_shaking_H1,7.683888888888889,0.314
190523_shaking_1_min_shaking_H1,8.017222222222223,0.323
190523_shaking_1_min_shaking_H1,8.350555555555555,0.329
190523_shaking_1_min_shaking_H1,8.68388888888889,0.341
190523_shaking_1_min_shaking_H1,9.017222222222221,0.348
190523_shaking_1_min_shaking_H1,9.350555555555555,0.354
190523_shaking_1_min_shaking_H1,9.68388888888889,0.364
190523_shaking_1_min_shaking_H1,10.017222222222221,0.373
190523_shaking_1_min_shaking_H1,10.350555555555555,0.378
190523_shaking_1_min_shaking_H1,10.68388888888889,0.385
190523_shaking_1_min_shaking_H1,11.017222222222221,0.395
190523_shaking_1_min_shaking_H1,11.350555555555555,0.403
190523_shaking_1_min_shaking_H1,11.68388888888889,0.41
190523_shaking_1_min_shaking_H1,12.017222222222221,0.417
190523_shaking_1_min_shaking_H1,12.350555555555555,0.426
190523_shaking_1_min_shaking_H1,12.68388888888889,0.429
190523_shaking_1_min_shaking_H1,13.017222222222221,0.439
190523_shaking_1_min_shaking_H1,13.350555555555555,0.446
190523_shaking_1_min_shaking_H1,13.68388888888889,0.456
190523_shaking_1_min_shaking_H1,14.017222222222221,0.465
190523_shaking_1_min_shaking_H1,14.350555555555555,0.474
190523_shaking_1_min_shaking_H1,14.68388888888889,0.485
190523_shaking_1_min_shaking_H1,15.017222222222221,0.492
190523_shaking_1_min_shaking_H1,15.350555555555555,0.503
190523_shaking_1_min_shaking_H1,15.68388888888889,0.514
190523_shaking_1_min_shaking_H1,16.017222222222223,0.525
190523_shaking_1_min_shaking_H1,16.350555555555555,0.538
190523_shaking_1_min_shaking_H1,16.683888888888887,0.546
190523_shaking_1_min_shaking_H1,17.017222222222223,0.555
190523_shaking_1_min_shaking_H1,17.350555555555555,0.567
190523_shaking_1_min_shaking_H1,17.683888888888887,0.579
190523_shaking_1_min_shaking_H1,18.017222222222223,0.587
190523_shaking_1_min_shaking_H1,18.350555555555555,0.596
190523_shaking_1_min_shaking_H1,18.683888888888887,0.604
190523_shaking_1_min_shaking_H1,19.017222222222223,0.61
190523_shaking_1_min_shaking_H1,19.350555555555555,0.618
190523_shaking_1_min_shaking_H1,19.683888888888887,0.635
190523_shaking_1_min_shaking_H1,20.017222222222223,0.644
190523_shaking_1_min_shaking_H1,20.350555555555555,0.656
190523_shaking_1_min_shaking_H1,20.683888888888887,0.66
190523_shaking_1_min_shaking_H1,21.017222222222223,0.669
190523_shaking_1_min_shaking_H1,21.350555555555555,0.684
190523_shaking_1_min_shaking_H1,21.683888888888887,0.7
190523_shaking_1_min_shaking_H1,22.017222222222223,0.708
190523_shaking_1_min_shaking_H1,22.350555555555555,0.72
190523_shaking_1_min_shaking_H1,22.683888888888887,0.728
190523_shaking_1_min_shaking_H1,23.017222222222223,0.738
190523_shaking_1_min_shaking_H1,23.350555555555555,0.748
190523_shaking_1_min_shaking_H1,23.683888888888887,0.758
190523_shaking_1_min_shaking_H1,24.017222222222223,0.768
190523_shaking_1_min_shaking_H1,24.350555555555555,0.779
190523_shaking_1_min_shaking_H1,24.683888888888887,0.791
190523_shaking_1_min_shaking_H1,25.017222222222223,0.801
190523_shaking_1_min_shaking_H1,25.350555555555555,0.813
190523_shaking_1_min_shaking_H1,25.683888888888887,0.822
190523_shaking_1_min_shaking_H1,26.017222222222223,0.832
190523_shaking_1_min_shaking_H1,26.350555555555555,0.843
190523_shaking_1_min_shaking_H1,26.683888888888887,0.855
190523_shaking_1_min_shaking_H1,27.017222222222223,0.867
190523_shaking_1_min_shaking_H1,27.350555555555555,0.876
190523_shaking_1_min_shaking_H1,27.683888888888887,0.885
190523_shaking_1_min_shaking_H1,28.017222222222223,0.904
190523_shaking_1_min_shaking_H1,28.350555555555555,0.907
190523_shaking_1_min_shaking_H1,28.683888888888887,0.92
190523_shaking_1_min_shaking_H1,29.017222222222223,0.932
190523_shaking_1_min_shaking_H1,29.350555555555555,0.944
190523_shaking_1_min_shaking_H1,29.683888888888887,0.954
