project,exp_ID,linegroup
190523_shaking,190523_shaking_1_min_shaking,190523_shaking_1_min_shaking_A5
190523_shaking,190523_shaking_1_min_shaking,190523_shaking_1_min_shaking_A6
190523_shaking,190523_shaking_1_min_shaking,190523_shaking_1_min_shaking_A7
190523_shaking,190523_shaking_1_min_shaking,190523_shaking_1_min_shaking_A8
190523_shaking,190523_shaking_1_min_shaking,190523_shaking_1_min_shaking_G5
190523_shaking,190523_shaking_1_min_shaking,190523_shaking_1_min_shaking_G6
190523_shaking,190523_shaking_1_min_shaking,190523_shaking_1_min_shaking_G7
190523_shaking,190523_shaking_1_min_shaking,190523_shaking_1_min_shaking_G8
190523_shaking,190523_shaking_1_min_shaking,190523_shaking_1_min_shaking_D1
190523_shaking,190523_shaking_1_min_shaking,190523_shaking_1_min_shaking_D2
190523_shaking,190523_shaking_1_min_shaking,190523_shaking_1_min_shaking_D3
190523_shaking,190523_shaking_1_min_shaking,190523_shaking_1_min_shaking_D4
190523_shaking,190523_shaking_1_min_shaking,190523_shaking_1_min_shaking_C1
190523_shaking,190523_shaking_1_min_shaking,190523_shaking_1_min_shaking_C2
190523_shaking,190523_shaking_1_min_shaking,190523_shaking_1_min_shaking_C3
190523_shaking,190523_shaking_1_min_shaking,190523_shaking_1_min_shaking_C4
190523_shaking,190523_shaking_1_min_shaking,190523_shaking_1_min_shaking_C9
190523_shaking,190523_shaking_1_min_shaking,190523_shaking_1_min_shaking_C10
190523_shaking,190523_shaking_1_min_shaking,190523_shaking_1_min_shaking_C11
190523_shaking,190523_shaking_1_min_shaking,190523_shaking_1_min_shaking_C12
190523_shaking,190523_shaking_1_min_shaking,190523_shaking_1_min_shaking_D5
190523_shaking,190523_shaking_1_min_shaking,190523_shaking_1_min_shaking_D6
190523_shaking,190523_shaking_1_min_shaking,190523_shaking_1_min_shaking_D7
190523_shaking,190523_shaking_1_min_shaking,190523_shaking_1_min_shaking_D8
190523_shaking,190523_shaking_1_min_shaking,190523_shaking_1_min_shaking_E1
190523_shaking,190523_shaking_1_min_shaking,190523_shaking_1_min_shaking_E2
190523_shaking,190523_shaking_1_min_shaking,190523_shaking_1_min_shaking_E3
190523_shaking,190523_shaking_1_min_shaking,190523_shaking_1_min_shaking_E4
190523_shaking,190523_shaking_1_min_shaking,190523_shaking_1_min_shaking_F9
190523_shaking,190523_shaking_1_min_shaking,190523_shaking_1_min_shaking_F10
190523_shaking,190523_shaking_1_min_shaking,190523_shaking_1_min_shaking_F11
190523_shaking,190523_shaking_1_min_shaking,190523_shaking_1_min_shaking_F12
190523_shaking,190523_shaking_1_min_shaking,190523_shaking_1_min_shaking_C5
190523_shaking,190523_shaking_1_min_shaking,190523_shaking_1_min_shaking_C6
190523_shaking,190523_shaking_1_min_shaking,190523_shaking_1_min_shaking_C7
190523_shaking,190523_shaking_1_min_shaking,190523_shaking_1_min_shaking_C8
190523_shaking,190523_shaking_1_min_shaking,190523_shaking_1_min_shaking_G9
190523_shaking,190523_shaking_1_min_shaking,190523_shaking_1_min_shaking_G10
190523_shaking,190523_shaking_1_min_shaking,190523_shaking_1_min_shaking_G11
190523_shaking,190523_shaking_1_min_shaking,190523_shaking_1_min_shaking_G12
190523_shaking,190523_shaking_1_min_shaking,190523_shaking_1_min_shaking_A1
190523_shaking,190523_shaking_1_min_shaking,190523_shaking_1_min_shaking_A2
190523_shaking,190523_shaking_1_min_shaking,190523_shaking_1_min_shaking_A3
190523_shaking,190523_shaking_1_min_shaking,190523_shaking_1_min_shaking_A4
190523_shaking,190523_shaking_1_min_shaking,190523_shaking_1_min_shaking_H1
190523_shaking,190523_shaking_1_min_shaking,190523_shaking_1_min_shaking_H2
190523_shaking,190523_shaking_1_min_shaking,190523_shaking_1_min_shaking_H3
190523_shaking,190523_shaking_1_min_shaking,190523_shaking_1_min_shaking_H4
190523_shaking,190523_shaking_1_min_shaking,190523_shaking_1_min_shaking_B9
190523_shaking,190523_shaking_1_min_shaking,190523_shaking_1_min_shaking_B10
190523_shaking,190523_shaking_1_min_shaking,190523_shaking_1_min_shaking_B11
190523_shaking,190523_shaking_1_min_shaking,190523_shaking_1_min_shaking_B12
190523_shaking,190523_shaking_1_min_shaking,190523_shaking_1_min_shaking_A9
190523_shaking,190523_shaking_1_min_shaking,190523_shaking_1_min_shaking_A10
190523_shaking,190523_shaking_1_min_shaking,190523_shaking_1_min_shaking_A11
190523_shaking,190523_shaking_1_min_shaking,190523_shaking_1_min_shaking_A12
190523_shaking,190523_shaking_1_min_shaking,190523_shaking_1_min_shaking_F1
190523_shaking,190523_shaking_1_min_shaking,190523_shaking_1_min_shaking_F2
190523_shaking,190523_shaking_1_min_shaking,190523_shaking_1_min_shaking_F3
190523_shaking,190523_shaking_1_min_shaking,190523_shaking_1_min_shaking_F4
190523_shaking,190523_shaking_1_min_shaking,190523_shaking_1_min_shaking_D9
190523_shaking,190523_shaking_1_min_shaking,190523_shaking_1_min_shaking_D10
190523_shaking,190523_shaking_1_min_shaking,190523_shaking_1_min_shaking_D11
190523_shaking,190523_shaking_1_min_shaking,190523_shaking_1_min_shaking_D12
190523_shaking,190523_shaking_1_min_shaking,190523_shaking_1_min_shaking_H9
190523_shaking,190523_shaking_1_min_shaking,190523_shaking_1_min_shaking_H10
190523_shaking,190523_shaking_1_min_shaking,190523_shaking_1_min_shaking_H11
190523_shaking,190523_shaking_1_min_shaking,190523_shaking_1_min_shaking_H12
190523_shaking,190523_shaking_1_min_shaking,190523_shaking_1_min_shaking_H5
190523_shaking,190523_shaking_1_min_shaking,190523_shaking_1_min_shaking_H6
190523_shaking,190523_shaking_1_min_shaking,190523_shaking_1_min_shaking_H7
190523_shaking,190523_shaking_1_min_shaking,190523_shaking_1_min_shaking_H8
190523_shaking,190523_shaking_1_min_shaking,190523_shaking_1_min_shaking_B1
190523_shaking,190523_shaking_1_min_shaking,190523_shaking_1_min_shaking_B2
190523_shaking,190523_shaking_1_min_shaking,190523_shaking_1_min_shaking_B3
190523_shaking,190523_shaking_1_min_shaking,190523_shaking_1_min_shaking_B4
190523_shaking,190523_shaking_1_min_shaking,190523_shaking_1_min_shaking_G1
190523_shaking,190523_shaking_1_min_shaking,190523_shaking_1_min_shaking_G2
190523_shaking,190523_shaking_1_min_shaking,190523_shaking_1_min_shaking_G3
190523_shaking,190523_shaking_1_min_shaking,190523_shaking_1_min_shaking_G4
190523_shaking,190523_shaking_1_min_shaking,190523_shaking_1_min_shaking_E5
190523_shaking,190523_shaking_1_min_shaking,190523_shaking_1_min_shaking_E6
190523_shaking,190523_shaking_1_min_shaking,190523_shaking_1_min_shaking_E7
190523_shaking,190523_shaking_1_min_shaking,190523_shaking_1_min_shaking_E8
190523_shaking,190523_shaking_1_min_shaking,190523_shaking_1_min_shaking_E9
190523_shaking,190523_shaking_1_min_shaking,190523_shaking_1_min_shaking_E10
190523_shaking,190523_shaking_1_min_shaking,190523_shaking_1_min_shaking_E11
190523_shaking,190523_shaking_1_min_shaking,190523_shaking_1_min_shaking_E12
190523_shaking,190523_shaking_1_min_shaking,190523_shaking_1_min_shaking_B5
190523_shaking,190523_shaking_1_min_shaking,190523_shaking_1_min_shaking_B6
190523_shaking,190523_shaking_1_min_shaking,190523_shaking_1_min_shaking_B7
190523_shaking,190523_shaking_1_min_shaking,190523_shaking_1_min_shaking_B8
190523_shaking,190523_shaking_1_min_shaking,190523_shaking_1_min_shaking_F5
190523_shaking,190523_shaking_1_min_shaking,190523_shaking_1_min_shaking_F6
190523_shaking,190523_shaking_1_min_shaking,190523_shaking_1_min_shaking_F7
190523_shaking,190523_shaking_1_min_shaking,190523_shaking_1_min_shaking_F8
