linegroup,species
190523_shaking_1_min_shaking_H1,4 MWF
190523_shaking_1_min_shaking_H2,4 MWF
190523_shaking_1_min_shaking_H3,4 MWF
190523_shaking_1_min_shaking_H4,4 MWF
190523_shaking_1_min_shaking_C9,Ochrobactrum anthropi
190523_shaking_1_min_shaking_C10,Ochrobactrum anthropi
190523_shaking_1_min_shaking_C11,Ochrobactrum anthropi
190523_shaking_1_min_shaking_C12,Ochrobactrum anthropi
190523_shaking_1_min_shaking_G9,Comamonas testosteroni
190523_shaking_1_min_shaking_G10,Comamonas testosteroni
190523_shaking_1_min_shaking_G11,Comamonas testosteroni
190523_shaking_1_min_shaking_G12,Comamonas testosteroni
190523_shaking_1_min_shaking_C1,Ochrobactrum anthropi
190523_shaking_1_min_shaking_C2,Ochrobactrum anthropi
190523_shaking_1_min_shaking_C3,Ochrobactrum anthropi
190523_shaking_1_min_shaking_C4,Ochrobactrum anthropi
190523_shaking_1_min_shaking_G1,Microbacterium liquefaciens
190523_shaking_1_min_shaking_G2,Microbacterium liquefaciens
190523_shaking_1_min_shaking_G3,Microbacterium liquefaciens
190523_shaking_1_min_shaking_G4,Microbacterium liquefaciens
190523_shaking_1_min_shaking_F1,Agrobacterium tumefaciens
190523_shaking_1_min_shaking_F2,Agrobacterium tumefaciens
190523_shaking_1_min_shaking_F3,Agrobacterium tumefaciens
190523_shaking_1_min_shaking_F4,Agrobacterium tumefaciens
190523_shaking_1_min_shaking_A1,Agrobacterium tumefaciens
190523_shaking_1_min_shaking_A2,Agrobacterium tumefaciens
190523_shaking_1_min_shaking_A3,Agrobacterium tumefaciens
190523_shaking_1_min_shaking_A4,Agrobacterium tumefaciens
190523_shaking_1_min_shaking_D1,Microbacterium liquefaciens
190523_shaking_1_min_shaking_D2,Microbacterium liquefaciens
190523_shaking_1_min_shaking_D3,Microbacterium liquefaciens
190523_shaking_1_min_shaking_D4,Microbacterium liquefaciens
190523_shaking_1_min_shaking_B5,Comamonas testosteroni
190523_shaking_1_min_shaking_B6,Comamonas testosteroni
190523_shaking_1_min_shaking_B7,Comamonas testosteroni
190523_shaking_1_min_shaking_B8,Comamonas testosteroni
190523_shaking_1_min_shaking_F5,Comamonas testosteroni
190523_shaking_1_min_shaking_F6,Comamonas testosteroni
190523_shaking_1_min_shaking_F7,Comamonas testosteroni
190523_shaking_1_min_shaking_F8,Comamonas testosteroni
190523_shaking_1_min_shaking_E5,Escherichia coli
190523_shaking_1_min_shaking_E6,Escherichia coli
190523_shaking_1_min_shaking_E7,Escherichia coli
190523_shaking_1_min_shaking_E8,Escherichia coli
190523_shaking_1_min_shaking_E9,Escherichia coli
190523_shaking_1_min_shaking_E10,Escherichia coli
190523_shaking_1_min_shaking_E11,Escherichia coli
190523_shaking_1_min_shaking_E12,Escherichia coli
190523_shaking_1_min_shaking_H9,4 MWF
190523_shaking_1_min_shaking_H10,4 MWF
190523_shaking_1_min_shaking_H11,4 MWF
190523_shaking_1_min_shaking_H12,4 MWF
190523_shaking_1_min_shaking_F9,Ochrobactrum anthropi
190523_shaking_1_min_shaking_F10,Ochrobactrum anthropi
190523_shaking_1_min_shaking_F11,Ochrobactrum anthropi
190523_shaking_1_min_shaking_F12,Ochrobactrum anthropi
190523_shaking_1_min_shaking_B9,Comamonas testosteroni
190523_shaking_1_min_shaking_B10,Comamonas testosteroni
190523_shaking_1_min_shaking_B11,Comamonas testosteroni
190523_shaking_1_min_shaking_B12,Comamonas testosteroni
190523_shaking_1_min_shaking_H5,4 MWF
190523_shaking_1_min_shaking_H6,4 MWF
190523_shaking_1_min_shaking_H7,4 MWF
190523_shaking_1_min_shaking_H8,4 MWF
190523_shaking_1_min_shaking_G5,Escherichia coli
190523_shaking_1_min_shaking_G6,Escherichia coli
190523_shaking_1_min_shaking_G7,Escherichia coli
190523_shaking_1_min_shaking_G8,Escherichia coli
190523_shaking_1_min_shaking_A5,Agrobacterium tumefaciens
190523_shaking_1_min_shaking_A6,Agrobacterium tumefaciens
190523_shaking_1_min_shaking_A7,Agrobacterium tumefaciens
190523_shaking_1_min_shaking_A8,Agrobacterium tumefaciens
190523_shaking_1_min_shaking_B1,Comamonas testosteroni
190523_shaking_1_min_shaking_B2,Comamonas testosteroni
190523_shaking_1_min_shaking_B3,Comamonas testosteroni
190523_shaking_1_min_shaking_B4,Comamonas testosteroni
190523_shaking_1_min_shaking_D9,Microbacterium liquefaciens
190523_shaking_1_min_shaking_D10,Microbacterium liquefaciens
190523_shaking_1_min_shaking_D11,Microbacterium liquefaciens
190523_shaking_1_min_shaking_D12,Microbacterium liquefaciens
190523_shaking_1_min_shaking_A9,Agrobacterium tumefaciens
190523_shaking_1_min_shaking_A10,Agrobacterium tumefaciens
190523_shaking_1_min_shaking_A11,Agrobacterium tumefaciens
190523_shaking_1_min_shaking_A12,Agrobacterium tumefaciens
190523_shaking_1_min_shaking_D5,Microbacterium liquefaciens
190523_shaking_1_min_shaking_D6,Microbacterium liquefaciens
190523_shaking_1_min_shaking_D7,Microbacterium liquefaciens
190523_shaking_1_min_shaking_D8,Microbacterium liquefaciens
190523_shaking_1_min_shaking_C5,Ochrobactrum anthropi
190523_shaking_1_min_shaking_C6,Ochrobactrum anthropi
190523_shaking_1_min_shaking_C7,Ochrobactrum anthropi
190523_shaking_1_min_shaking_C8,Ochrobactrum anthropi
190523_shaking_1_min_shaking_E1,Escherichia coli
190523_shaking_1_min_shaking_E2,Escherichia coli
190523_shaking_1_min_shaking_E3,Escherichia coli
190523_shaking_1_min_shaking_E4,Escherichia coli
