linegroup,carbon_source,cs_conc,base_media
240808_acetate_glutarate_l-glutamate_240808_E10,Proline,15,M9 + HMB
240808_acetate_glutarate_l-glutamate_240808_A8,Glutarate,15,M9 + HMB
240808_acetate_glutarate_l-glutamate_240808_F6,L-Glutamate,7,M9 + HMB
240808_acetate_glutarate_l-glutamate_240808_A9,Glutarate,15,M9 + HMB
240808_acetate_glutarate_l-glutamate_240808_A1,Acetate,15,M9 + HMB
240808_acetate_glutarate_l-glutamate_240808_F4,L-Glutamate,7,M9 + HMB
240808_acetate_glutarate_l-glutamate_240808_G7,Glutarate,4,M9 + HMB
240808_acetate_glutarate_l-glutamate_240808_C8,Glutarate,4,M9 + HMB
240808_acetate_glutarate_l-glutamate_240808_B3,Acetate,7,M9 + HMB
240808_acetate_glutarate_l-glutamate_240808_B7,Glutarate,7,M9 + HMB
240808_acetate_glutarate_l-glutamate_240808_A3,Acetate,15,M9 + HMB
240808_acetate_glutarate_l-glutamate_240808_G12,Proline,4,M9 + HMB
240808_acetate_glutarate_l-glutamate_240808_G3,Acetate,4,M9 + HMB
240808_acetate_glutarate_l-glutamate_240808_B4,L-Glutamate,7,M9 + HMB
240808_acetate_glutarate_l-glutamate_240808_B5,L-Glutamate,7,M9 + HMB
240808_acetate_glutarate_l-glutamate_240808_E1,Acetate,15,M9 + HMB
240808_acetate_glutarate_l-glutamate_240808_E2,Acetate,15,M9 + HMB
240808_acetate_glutarate_l-glutamate_240808_C9,Glutarate,4,M9 + HMB
240808_acetate_glutarate_l-glutamate_240808_E9,Glutarate,15,M9 + HMB
240808_acetate_glutarate_l-glutamate_240808_F10,Proline,7,M9 + HMB
240808_acetate_glutarate_l-glutamate_240808_C2,Acetate,4,M9 + HMB
240808_acetate_glutarate_l-glutamate_240808_C7,Glutarate,4,M9 + HMB
240808_acetate_glutarate_l-glutamate_240808_B6,L-Glutamate,7,M9 + HMB
240808_acetate_glutarate_l-glutamate_240808_A4,L-Glutamate,15,M9 + HMB
240808_acetate_glutarate_l-glutamate_240808_G5,L-Glutamate,4,M9 + HMB
