linegroup,species
240808_acetate_glutarate_l-glutamate_240808_B8,Comamonas testosteroni
240808_acetate_glutarate_l-glutamate_240808_F9,Ochrobactrum anthropi
240808_acetate_glutarate_l-glutamate_240808_E7,Ochrobactrum anthropi
240808_acetate_glutarate_l-glutamate_240808_G6,Ochrobactrum anthropi
240808_acetate_glutarate_l-glutamate_240808_A11,Comamonas testosteroni
240808_acetate_glutarate_l-glutamate_240808_G4,Ochrobactrum anthropi
240808_acetate_glutarate_l-glutamate_240808_F8,Ochrobactrum anthropi
240808_acetate_glutarate_l-glutamate_240808_A9,Comamonas testosteroni
240808_acetate_glutarate_l-glutamate_240808_B4,Comamonas testosteroni
240808_acetate_glutarate_l-glutamate_240808_B7,Comamonas testosteroni
240808_acetate_glutarate_l-glutamate_240808_E6,Ochrobactrum anthropi
240808_acetate_glutarate_l-glutamate_240808_A6,Comamonas testosteroni
240808_acetate_glutarate_l-glutamate_240808_F4,Ochrobactrum anthropi
240808_acetate_glutarate_l-glutamate_240808_C10,Comamonas testosteroni
240808_acetate_glutarate_l-glutamate_240808_C9,Comamonas testosteroni
240808_acetate_glutarate_l-glutamate_240808_C8,Comamonas testosteroni
240808_acetate_glutarate_l-glutamate_240808_E2,Ochrobactrum anthropi
240808_acetate_glutarate_l-glutamate_240808_G1,Ochrobactrum anthropi
240808_acetate_glutarate_l-glutamate_240808_G3,Ochrobactrum anthropi
240808_acetate_glutarate_l-glutamate_240808_E12,Ochrobactrum anthropi
240808_acetate_glutarate_l-glutamate_240808_B3,Comamonas testosteroni
240808_acetate_glutarate_l-glutamate_240808_C4,Comamonas testosteroni
240808_acetate_glutarate_l-glutamate_240808_C1,Comamonas testosteroni
240808_acetate_glutarate_l-glutamate_240808_E4,Ochrobactrum anthropi
240808_acetate_glutarate_l-glutamate_240808_C2,Comamonas testosteroni
240808_acetate_glutarate_l-glutamate_240808_G12,Ochrobactrum anthropi
240808_acetate_glutarate_l-glutamate_240808_C11,Comamonas testosteroni
240808_acetate_glutarate_l-glutamate_240808_A2,Comamonas testosteroni
240808_acetate_glutarate_l-glutamate_240808_C6,Comamonas testosteroni
240808_acetate_glutarate_l-glutamate_240808_B12,Comamonas testosteroni
240808_acetate_glutarate_l-glutamate_240808_F3,Ochrobactrum anthropi
240808_acetate_glutarate_l-glutamate_240808_F5,Ochrobactrum anthropi
240808_acetate_glutarate_l-glutamate_240808_A1,Comamonas testosteroni
240808_acetate_glutarate_l-glutamate_240808_E10,Ochrobactrum anthropi
240808_acetate_glutarate_l-glutamate_240808_E11,Ochrobactrum anthropi
240808_acetate_glutarate_l-glutamate_240808_F6,Ochrobactrum anthropi
240808_acetate_glutarate_l-glutamate_240808_F11,Ochrobactrum anthropi
240808_acetate_glutarate_l-glutamate_240808_G10,Ochrobactrum anthropi
240808_acetate_glutarate_l-glutamate_240808_F2,Ochrobactrum anthropi
240808_acetate_glutarate_l-glutamate_240808_A12,Comamonas testosteroni
240808_acetate_glutarate_l-glutamate_240808_B10,Comamonas testosteroni
240808_acetate_glutarate_l-glutamate_240808_E1,Ochrobactrum anthropi
240808_acetate_glutarate_l-glutamate_240808_E8,Ochrobactrum anthropi
240808_acetate_glutarate_l-glutamate_240808_B2,Comamonas testosteroni
240808_acetate_glutarate_l-glutamate_240808_G8,Ochrobactrum anthropi
240808_acetate_glutarate_l-glutamate_240808_B1,Comamonas testosteroni
240808_acetate_glutarate_l-glutamate_240808_G11,Ochrobactrum anthropi
240808_acetate_glutarate_l-glutamate_240808_A5,Comamonas testosteroni
240808_acetate_glutarate_l-glutamate_240808_A7,Comamonas testosteroni
240808_acetate_glutarate_l-glutamate_240808_C7,Comamonas testosteroni
240808_acetate_glutarate_l-glutamate_240808_C3,Comamonas testosteroni
240808_acetate_glutarate_l-glutamate_240808_B9,Comamonas testosteroni
240808_acetate_glutarate_l-glutamate_240808_A3,Comamonas testosteroni
240808_acetate_glutarate_l-glutamate_240808_G7,Ochrobactrum anthropi
240808_acetate_glutarate_l-glutamate_240808_F10,Ochrobactrum anthropi
240808_acetate_glutarate_l-glutamate_240808_E3,Ochrobactrum anthropi
240808_acetate_glutarate_l-glutamate_240808_F7,Ochrobactrum anthropi
240808_acetate_glutarate_l-glutamate_240808_B6,Comamonas testosteroni
240808_acetate_glutarate_l-glutamate_240808_A4,Comamonas testosteroni
240808_acetate_glutarate_l-glutamate_240808_A10,Comamonas testosteroni
240808_acetate_glutarate_l-glutamate_240808_B11,Comamonas testosteroni
240808_acetate_glutarate_l-glutamate_240808_C5,Comamonas testosteroni
240808_acetate_glutarate_l-glutamate_240808_C12,Comamonas testosteroni
240808_acetate_glutarate_l-glutamate_240808_G2,Ochrobactrum anthropi
240808_acetate_glutarate_l-glutamate_240808_F12,Ochrobactrum anthropi
240808_acetate_glutarate_l-glutamate_240808_B5,Comamonas testosteroni
240808_acetate_glutarate_l-glutamate_240808_E5,Ochrobactrum anthropi
240808_acetate_glutarate_l-glutamate_240808_A8,Comamonas testosteroni
240808_acetate_glutarate_l-glutamate_240808_E9,Ochrobactrum anthropi
240808_acetate_glutarate_l-glutamate_240808_G5,Ochrobactrum anthropi
240808_acetate_glutarate_l-glutamate_240808_F1,Ochrobactrum anthropi
240808_acetate_glutarate_l-glutamate_240808_G9,Ochrobactrum anthropi
