linegroup,carbon_source,cs_conc,base_media
240903_fran_nut_gradient_repeat_3_plate_1_C2,TSB,0.75,TSB
240903_fran_nut_gradient_repeat_3_plate_1_G3,TSB,0.5,TSB
240903_fran_nut_gradient_repeat_3_plate_1_F4,TSB,0.25,TSB
240903_fran_nut_gradient_repeat_3_plate_1_A8,TSB,0.01,TSB
240903_fran_nut_gradient_repeat_3_plate_1_C1,TSB,1.0,TSB
240903_fran_nut_gradient_repeat_3_plate_1_F5,TSB,0.1,TSB
240903_fran_nut_gradient_repeat_3_plate_1_B1,TSB,1.0,TSB
240903_fran_nut_gradient_repeat_3_plate_1_B7,TSB,0.02,TSB
240903_fran_nut_gradient_repeat_3_plate_1_B6,TSB,0.05,TSB
240903_fran_nut_gradient_repeat_3_plate_1_F9,TSB,0.005,TSB
240903_fran_nut_gradient_repeat_3_plate_1_A9,TSB,0.005,TSB
240903_fran_nut_gradient_repeat_3_plate_1_C4,TSB,0.25,TSB
240903_fran_nut_gradient_repeat_3_plate_1_F10,TSB,0.002,TSB
240903_fran_nut_gradient_repeat_3_plate_1_A3,TSB,0.5,TSB
240903_fran_nut_gradient_repeat_3_plate_1_D9,TSB,0.005,TSB
240903_fran_nut_gradient_repeat_3_plate_1_G10,TSB,0.002,TSB
240903_fran_nut_gradient_repeat_3_plate_1_F1,TSB,1.0,TSB
240903_fran_nut_gradient_repeat_3_plate_1_A7,TSB,0.02,TSB
240903_fran_nut_gradient_repeat_3_plate_1_C9,TSB,0.005,TSB
240903_fran_nut_gradient_repeat_3_plate_1_G1,TSB,1.0,TSB
240903_fran_nut_gradient_repeat_3_plate_1_E3,TSB,0.5,TSB
240903_fran_nut_gradient_repeat_3_plate_1_E6,TSB,0.05,TSB
240903_fran_nut_gradient_repeat_3_plate_1_A6,TSB,0.05,TSB
240903_fran_nut_gradient_repeat_3_plate_1_D6,TSB,0.05,TSB
240903_fran_nut_gradient_repeat_3_plate_1_B2,TSB,0.75,TSB
240903_fran_nut_gradient_repeat_3_plate_1_F8,TSB,0.01,TSB
240903_fran_nut_gradient_repeat_3_plate_1_E4,TSB,0.25,TSB
240903_fran_nut_gradient_repeat_3_plate_1_B9,TSB,0.005,TSB
240903_fran_nut_gradient_repeat_3_plate_1_D7,TSB,0.02,TSB
240903_fran_nut_gradient_repeat_3_plate_1_C3,TSB,0.5,TSB
240903_fran_nut_gradient_repeat_3_plate_1_B10,TSB,0.002,TSB
240903_fran_nut_gradient_repeat_3_plate_1_E1,TSB,1.0,TSB
240903_fran_nut_gradient_repeat_3_plate_1_D10,TSB,0.002,TSB
240903_fran_nut_gradient_repeat_3_plate_1_F6,TSB,0.05,TSB
240903_fran_nut_gradient_repeat_3_plate_1_C7,TSB,0.02,TSB
240903_fran_nut_gradient_repeat_3_plate_1_B5,TSB,0.1,TSB
240903_fran_nut_gradient_repeat_3_plate_1_C10,TSB,0.002,TSB
240903_fran_nut_gradient_repeat_3_plate_1_C6,TSB,0.05,TSB
