linegroup,comments
240903_fran_nut_gradient_repeat_3_plate_1_E2, sfGFP:pGDPI CAT
240903_fran_nut_gradient_repeat_3_plate_1_C1,sfGFP:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_3_plate_1_D11,tdTomato:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_3_plate_1_E5, sfGFP:pGDPI CAT
240903_fran_nut_gradient_repeat_3_plate_1_G4,sfGFP
240903_fran_nut_gradient_repeat_3_plate_1_G11,sfGFP
240903_fran_nut_gradient_repeat_3_plate_1_C8,sfGFP:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_3_plate_1_F6, tdTomato:pGDPI CAT
240903_fran_nut_gradient_repeat_3_plate_1_C7,sfGFP:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_3_plate_1_E10, sfGFP:pGDPI CAT
240903_fran_nut_gradient_repeat_3_plate_1_F1, tdTomato:pGDPI CAT
240903_fran_nut_gradient_repeat_3_plate_1_C11,sfGFP:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_3_plate_1_B6,tdTomato
240903_fran_nut_gradient_repeat_3_plate_1_F8, tdTomato:pGDPI CAT
240903_fran_nut_gradient_repeat_3_plate_1_G1,sfGFP
240903_fran_nut_gradient_repeat_3_plate_1_D6,tdTomato:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_3_plate_1_A4,sfGFP
240903_fran_nut_gradient_repeat_3_plate_1_C2,sfGFP:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_3_plate_1_E1, sfGFP:pGDPI CAT
240903_fran_nut_gradient_repeat_3_plate_1_A9,sfGFP
240903_fran_nut_gradient_repeat_3_plate_1_C9,sfGFP:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_3_plate_1_B5,tdTomato
240903_fran_nut_gradient_repeat_3_plate_1_B4,tdTomato
240903_fran_nut_gradient_repeat_3_plate_1_D3,tdTomato:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_3_plate_1_A11,sfGFP
240903_fran_nut_gradient_repeat_3_plate_1_F4, tdTomato:pGDPI CAT
240903_fran_nut_gradient_repeat_3_plate_1_B9,tdTomato
240903_fran_nut_gradient_repeat_3_plate_1_F7, tdTomato:pGDPI CAT
240903_fran_nut_gradient_repeat_3_plate_1_D10,tdTomato:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_3_plate_1_B11,tdTomato
240903_fran_nut_gradient_repeat_3_plate_1_F11, tdTomato:pGDPI CAT
240903_fran_nut_gradient_repeat_3_plate_1_G9,sfGFP
240903_fran_nut_gradient_repeat_3_plate_1_B8,tdTomato
240903_fran_nut_gradient_repeat_3_plate_1_F3, tdTomato:pGDPI CAT
240903_fran_nut_gradient_repeat_3_plate_1_E6, sfGFP:pGDPI CAT
240903_fran_nut_gradient_repeat_3_plate_1_E8, sfGFP:pGDPI CAT
240903_fran_nut_gradient_repeat_3_plate_1_A5,sfGFP
240903_fran_nut_gradient_repeat_3_plate_1_G7,sfGFP
240903_fran_nut_gradient_repeat_3_plate_1_E3, sfGFP:pGDPI CAT
240903_fran_nut_gradient_repeat_3_plate_1_C4,sfGFP:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_3_plate_1_F5, tdTomato:pGDPI CAT
240903_fran_nut_gradient_repeat_3_plate_1_F10, tdTomato:pGDPI CAT
240903_fran_nut_gradient_repeat_3_plate_1_F2, tdTomato:pGDPI CAT
240903_fran_nut_gradient_repeat_3_plate_1_E4, sfGFP:pGDPI CAT
240903_fran_nut_gradient_repeat_3_plate_1_B3,tdTomato
240903_fran_nut_gradient_repeat_3_plate_1_E11, sfGFP:pGDPI CAT
240903_fran_nut_gradient_repeat_3_plate_1_G6,sfGFP
240903_fran_nut_gradient_repeat_3_plate_1_A1,sfGFP
240903_fran_nut_gradient_repeat_3_plate_1_D2,tdTomato:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_3_plate_1_G5,sfGFP
240903_fran_nut_gradient_repeat_3_plate_1_A3,sfGFP
240903_fran_nut_gradient_repeat_3_plate_1_G2,sfGFP
240903_fran_nut_gradient_repeat_3_plate_1_E9, sfGFP:pGDPI CAT
240903_fran_nut_gradient_repeat_3_plate_1_E7, sfGFP:pGDPI CAT
240903_fran_nut_gradient_repeat_3_plate_1_D5,tdTomato:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_3_plate_1_D7,tdTomato:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_3_plate_1_D4,tdTomato:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_3_plate_1_C3,sfGFP:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_3_plate_1_G10,sfGFP
240903_fran_nut_gradient_repeat_3_plate_1_G8,sfGFP
240903_fran_nut_gradient_repeat_3_plate_1_G3,sfGFP
240903_fran_nut_gradient_repeat_3_plate_1_B2,tdTomato
240903_fran_nut_gradient_repeat_3_plate_1_A8,sfGFP
240903_fran_nut_gradient_repeat_3_plate_1_C5,sfGFP:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_3_plate_1_B1,tdTomato
