linegroup,inhibitor,inhibitor_conc
240903_fran_nut_gradient_repeat_3_plate_1_C2,None,0
240903_fran_nut_gradient_repeat_3_plate_1_G3,None,0
240903_fran_nut_gradient_repeat_3_plate_1_F4,None,0
240903_fran_nut_gradient_repeat_3_plate_1_A8,None,0
240903_fran_nut_gradient_repeat_3_plate_1_C1,None,0
240903_fran_nut_gradient_repeat_3_plate_1_F5,None,0
240903_fran_nut_gradient_repeat_3_plate_1_B1,None,0
240903_fran_nut_gradient_repeat_3_plate_1_B7,None,0
240903_fran_nut_gradient_repeat_3_plate_1_B6,None,0
240903_fran_nut_gradient_repeat_3_plate_1_F9,None,0
240903_fran_nut_gradient_repeat_3_plate_1_A9,None,0
240903_fran_nut_gradient_repeat_3_plate_1_C4,None,0
240903_fran_nut_gradient_repeat_3_plate_1_F10,None,0
240903_fran_nut_gradient_repeat_3_plate_1_A3,None,0
240903_fran_nut_gradient_repeat_3_plate_1_D9,None,0
240903_fran_nut_gradient_repeat_3_plate_1_G10,None,0
240903_fran_nut_gradient_repeat_3_plate_1_F1,None,0
240903_fran_nut_gradient_repeat_3_plate_1_A7,None,0
240903_fran_nut_gradient_repeat_3_plate_1_C9,None,0
240903_fran_nut_gradient_repeat_3_plate_1_G1,None,0
240903_fran_nut_gradient_repeat_3_plate_1_E3,None,0
240903_fran_nut_gradient_repeat_3_plate_1_E6,None,0
240903_fran_nut_gradient_repeat_3_plate_1_A6,None,0
240903_fran_nut_gradient_repeat_3_plate_1_D6,None,0
240903_fran_nut_gradient_repeat_3_plate_1_B2,None,0
240903_fran_nut_gradient_repeat_3_plate_1_F8,None,0
240903_fran_nut_gradient_repeat_3_plate_1_E4,None,0
240903_fran_nut_gradient_repeat_3_plate_1_B9,None,0
240903_fran_nut_gradient_repeat_3_plate_1_D7,None,0
240903_fran_nut_gradient_repeat_3_plate_1_C3,None,0
240903_fran_nut_gradient_repeat_3_plate_1_B10,None,0
240903_fran_nut_gradient_repeat_3_plate_1_E1,None,0
240903_fran_nut_gradient_repeat_3_plate_1_D10,None,0
240903_fran_nut_gradient_repeat_3_plate_1_F6,None,0
240903_fran_nut_gradient_repeat_3_plate_1_C7,None,0
240903_fran_nut_gradient_repeat_3_plate_1_B5,None,0
240903_fran_nut_gradient_repeat_3_plate_1_C10,None,0
240903_fran_nut_gradient_repeat_3_plate_1_C6,None,0
240903_fran_nut_gradient_repeat_3_plate_1_G7,None,0
240903_fran_nut_gradient_repeat_3_plate_1_E8,None,0
240903_fran_nut_gradient_repeat_3_plate_1_F3,None,0
240903_fran_nut_gradient_repeat_3_plate_1_G9,None,0
240903_fran_nut_gradient_repeat_3_plate_1_A1,None,0
240903_fran_nut_gradient_repeat_3_plate_1_E7,None,0
240903_fran_nut_gradient_repeat_3_plate_1_F11,None,0
240903_fran_nut_gradient_repeat_3_plate_1_D3,None,0
240903_fran_nut_gradient_repeat_3_plate_1_G2,None,0
240903_fran_nut_gradient_repeat_3_plate_1_B3,None,0
240903_fran_nut_gradient_repeat_3_plate_1_E2,None,0
240903_fran_nut_gradient_repeat_3_plate_1_A11,None,0
240903_fran_nut_gradient_repeat_3_plate_1_D8,None,0
240903_fran_nut_gradient_repeat_3_plate_1_F7,None,0
240903_fran_nut_gradient_repeat_3_plate_1_C5,None,0
240903_fran_nut_gradient_repeat_3_plate_1_D2,None,0
240903_fran_nut_gradient_repeat_3_plate_1_G8,None,0
240903_fran_nut_gradient_repeat_3_plate_1_A5,None,0
240903_fran_nut_gradient_repeat_3_plate_1_G5,None,0
240903_fran_nut_gradient_repeat_3_plate_1_C11,None,0
240903_fran_nut_gradient_repeat_3_plate_1_B8,None,0
240903_fran_nut_gradient_repeat_3_plate_1_G6,None,0
240903_fran_nut_gradient_repeat_3_plate_1_B11,None,0
240903_fran_nut_gradient_repeat_3_plate_1_D5,None,0
