project,exp_ID,linegroup
240903_fran,240903_fran_nut_gradient_repeat_3_plate_1,240903_fran_nut_gradient_repeat_3_plate_1_E5
240903_fran,240903_fran_nut_gradient_repeat_3_plate_1,240903_fran_nut_gradient_repeat_3_plate_1_B10
240903_fran,240903_fran_nut_gradient_repeat_3_plate_1,240903_fran_nut_gradient_repeat_3_plate_1_A2
240903_fran,240903_fran_nut_gradient_repeat_3_plate_1,240903_fran_nut_gradient_repeat_3_plate_1_G9
240903_fran,240903_fran_nut_gradient_repeat_3_plate_1,240903_fran_nut_gradient_repeat_3_plate_1_D9
240903_fran,240903_fran_nut_gradient_repeat_3_plate_1,240903_fran_nut_gradient_repeat_3_plate_1_D8
240903_fran,240903_fran_nut_gradient_repeat_3_plate_1,240903_fran_nut_gradient_repeat_3_plate_1_G6
240903_fran,240903_fran_nut_gradient_repeat_3_plate_1,240903_fran_nut_gradient_repeat_3_plate_1_D1
240903_fran,240903_fran_nut_gradient_repeat_3_plate_1,240903_fran_nut_gradient_repeat_3_plate_1_B11
240903_fran,240903_fran_nut_gradient_repeat_3_plate_1,240903_fran_nut_gradient_repeat_3_plate_1_B1
240903_fran,240903_fran_nut_gradient_repeat_3_plate_1,240903_fran_nut_gradient_repeat_3_plate_1_B8
240903_fran,240903_fran_nut_gradient_repeat_3_plate_1,240903_fran_nut_gradient_repeat_3_plate_1_C10
240903_fran,240903_fran_nut_gradient_repeat_3_plate_1,240903_fran_nut_gradient_repeat_3_plate_1_A10
240903_fran,240903_fran_nut_gradient_repeat_3_plate_1,240903_fran_nut_gradient_repeat_3_plate_1_G7
240903_fran,240903_fran_nut_gradient_repeat_3_plate_1,240903_fran_nut_gradient_repeat_3_plate_1_E11
240903_fran,240903_fran_nut_gradient_repeat_3_plate_1,240903_fran_nut_gradient_repeat_3_plate_1_F6
240903_fran,240903_fran_nut_gradient_repeat_3_plate_1,240903_fran_nut_gradient_repeat_3_plate_1_F10
240903_fran,240903_fran_nut_gradient_repeat_3_plate_1,240903_fran_nut_gradient_repeat_3_plate_1_A1
240903_fran,240903_fran_nut_gradient_repeat_3_plate_1,240903_fran_nut_gradient_repeat_3_plate_1_G4
240903_fran,240903_fran_nut_gradient_repeat_3_plate_1,240903_fran_nut_gradient_repeat_3_plate_1_C6
240903_fran,240903_fran_nut_gradient_repeat_3_plate_1,240903_fran_nut_gradient_repeat_3_plate_1_G5
240903_fran,240903_fran_nut_gradient_repeat_3_plate_1,240903_fran_nut_gradient_repeat_3_plate_1_E9
240903_fran,240903_fran_nut_gradient_repeat_3_plate_1,240903_fran_nut_gradient_repeat_3_plate_1_A4
240903_fran,240903_fran_nut_gradient_repeat_3_plate_1,240903_fran_nut_gradient_repeat_3_plate_1_G8
240903_fran,240903_fran_nut_gradient_repeat_3_plate_1,240903_fran_nut_gradient_repeat_3_plate_1_C9
240903_fran,240903_fran_nut_gradient_repeat_3_plate_1,240903_fran_nut_gradient_repeat_3_plate_1_G2
240903_fran,240903_fran_nut_gradient_repeat_3_plate_1,240903_fran_nut_gradient_repeat_3_plate_1_E2
240903_fran,240903_fran_nut_gradient_repeat_3_plate_1,240903_fran_nut_gradient_repeat_3_plate_1_A5
240903_fran,240903_fran_nut_gradient_repeat_3_plate_1,240903_fran_nut_gradient_repeat_3_plate_1_F1
240903_fran,240903_fran_nut_gradient_repeat_3_plate_1,240903_fran_nut_gradient_repeat_3_plate_1_D6
240903_fran,240903_fran_nut_gradient_repeat_3_plate_1,240903_fran_nut_gradient_repeat_3_plate_1_F4
240903_fran,240903_fran_nut_gradient_repeat_3_plate_1,240903_fran_nut_gradient_repeat_3_plate_1_C11
240903_fran,240903_fran_nut_gradient_repeat_3_plate_1,240903_fran_nut_gradient_repeat_3_plate_1_C4
240903_fran,240903_fran_nut_gradient_repeat_3_plate_1,240903_fran_nut_gradient_repeat_3_plate_1_F5
240903_fran,240903_fran_nut_gradient_repeat_3_plate_1,240903_fran_nut_gradient_repeat_3_plate_1_C7
240903_fran,240903_fran_nut_gradient_repeat_3_plate_1,240903_fran_nut_gradient_repeat_3_plate_1_G3
240903_fran,240903_fran_nut_gradient_repeat_3_plate_1,240903_fran_nut_gradient_repeat_3_plate_1_F9
240903_fran,240903_fran_nut_gradient_repeat_3_plate_1,240903_fran_nut_gradient_repeat_3_plate_1_A11
240903_fran,240903_fran_nut_gradient_repeat_3_plate_1,240903_fran_nut_gradient_repeat_3_plate_1_D5
240903_fran,240903_fran_nut_gradient_repeat_3_plate_1,240903_fran_nut_gradient_repeat_3_plate_1_B4
240903_fran,240903_fran_nut_gradient_repeat_3_plate_1,240903_fran_nut_gradient_repeat_3_plate_1_E1
240903_fran,240903_fran_nut_gradient_repeat_3_plate_1,240903_fran_nut_gradient_repeat_3_plate_1_C3
240903_fran,240903_fran_nut_gradient_repeat_3_plate_1,240903_fran_nut_gradient_repeat_3_plate_1_F11
240903_fran,240903_fran_nut_gradient_repeat_3_plate_1,240903_fran_nut_gradient_repeat_3_plate_1_D11
240903_fran,240903_fran_nut_gradient_repeat_3_plate_1,240903_fran_nut_gradient_repeat_3_plate_1_B5
240903_fran,240903_fran_nut_gradient_repeat_3_plate_1,240903_fran_nut_gradient_repeat_3_plate_1_E7
240903_fran,240903_fran_nut_gradient_repeat_3_plate_1,240903_fran_nut_gradient_repeat_3_plate_1_D3
240903_fran,240903_fran_nut_gradient_repeat_3_plate_1,240903_fran_nut_gradient_repeat_3_plate_1_B7
240903_fran,240903_fran_nut_gradient_repeat_3_plate_1,240903_fran_nut_gradient_repeat_3_plate_1_A9
240903_fran,240903_fran_nut_gradient_repeat_3_plate_1,240903_fran_nut_gradient_repeat_3_plate_1_B3
240903_fran,240903_fran_nut_gradient_repeat_3_plate_1,240903_fran_nut_gradient_repeat_3_plate_1_C1
240903_fran,240903_fran_nut_gradient_repeat_3_plate_1,240903_fran_nut_gradient_repeat_3_plate_1_B6
240903_fran,240903_fran_nut_gradient_repeat_3_plate_1,240903_fran_nut_gradient_repeat_3_plate_1_C5
240903_fran,240903_fran_nut_gradient_repeat_3_plate_1,240903_fran_nut_gradient_repeat_3_plate_1_D7
240903_fran,240903_fran_nut_gradient_repeat_3_plate_1,240903_fran_nut_gradient_repeat_3_plate_1_F3
