linegroup,species
240903_fran_nut_gradient_repeat_3_plate_1_E5,Escherichia coli  sfGFP:pGDPI CAT
240903_fran_nut_gradient_repeat_3_plate_1_B10,Escherichia coli tdTomato
240903_fran_nut_gradient_repeat_3_plate_1_A2,Escherichia coli sfGFP
240903_fran_nut_gradient_repeat_3_plate_1_G9,Salmonella Typhimurium sfGFP
240903_fran_nut_gradient_repeat_3_plate_1_D9,Escherichia coli  tdTomato:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_3_plate_1_D8,Escherichia coli  tdTomato:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_3_plate_1_G6,Salmonella Typhimurium sfGFP
240903_fran_nut_gradient_repeat_3_plate_1_D1,Escherichia coli  tdTomato:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_3_plate_1_B11,Escherichia coli tdTomato
240903_fran_nut_gradient_repeat_3_plate_1_B1,Escherichia coli tdTomato
240903_fran_nut_gradient_repeat_3_plate_1_B8,Escherichia coli tdTomato
240903_fran_nut_gradient_repeat_3_plate_1_C10,Escherichia coli sfGFP:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_3_plate_1_A10,Escherichia coli sfGFP
240903_fran_nut_gradient_repeat_3_plate_1_G7,Salmonella Typhimurium sfGFP
240903_fran_nut_gradient_repeat_3_plate_1_E11,Escherichia coli  sfGFP:pGDPI CAT
240903_fran_nut_gradient_repeat_3_plate_1_F6,Escherichia coli tdTomato:pGDPI CAT
240903_fran_nut_gradient_repeat_3_plate_1_F10,Escherichia coli tdTomato:pGDPI CAT
240903_fran_nut_gradient_repeat_3_plate_1_A1,Escherichia coli sfGFP
240903_fran_nut_gradient_repeat_3_plate_1_G4,Salmonella Typhimurium sfGFP
240903_fran_nut_gradient_repeat_3_plate_1_C6,Escherichia coli sfGFP:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_3_plate_1_G5,Salmonella Typhimurium sfGFP
240903_fran_nut_gradient_repeat_3_plate_1_E9,Escherichia coli  sfGFP:pGDPI CAT
240903_fran_nut_gradient_repeat_3_plate_1_A4,Escherichia coli sfGFP
240903_fran_nut_gradient_repeat_3_plate_1_G8,Salmonella Typhimurium sfGFP
240903_fran_nut_gradient_repeat_3_plate_1_C9,Escherichia coli sfGFP:pGDPI CTX-M-15
240903_fran_nut_gradient_repeat_3_plate_1_G2,Salmonella Typhimurium sfGFP
240903_fran_nut_gradient_repeat_3_plate_1_E2,Escherichia coli  sfGFP:pGDPI CAT
