linegroup,carbon_source,cs_conc,base_media
240921_carbon_source_gradients_240921_ct_oa_acetate_B8,Acetate,20.0,M9 + HMB
240921_carbon_source_gradients_240921_ct_oa_acetate_C8,Acetate,20.0,M9 + HMB
240921_carbon_source_gradients_240921_ct_oa_acetate_D8,Acetate,20.0,M9 + HMB
240921_carbon_source_gradients_240921_ct_oa_acetate_E10,Acetate,30.0,M9 + HMB
240921_carbon_source_gradients_240921_ct_oa_acetate_F10,Acetate,30.0,M9 + HMB
240921_carbon_source_gradients_240921_ct_oa_acetate_G10,Acetate,30.0,M9 + HMB
240921_carbon_source_gradients_240921_ct_oa_acetate_E4,Acetate,6.0,M9 + HMB
240921_carbon_source_gradients_240921_ct_oa_acetate_F4,Acetate,6.0,M9 + HMB
240921_carbon_source_gradients_240921_ct_oa_acetate_G4,Acetate,6.0,M9 + HMB
240921_carbon_source_gradients_240921_ct_oa_acetate_B7,Acetate,15.0,M9 + HMB
240921_carbon_source_gradients_240921_ct_oa_acetate_C7,Acetate,15.0,M9 + HMB
240921_carbon_source_gradients_240921_ct_oa_acetate_D7,Acetate,15.0,M9 + HMB
240921_carbon_source_gradients_240921_ct_oa_acetate_E9,Acetate,45.0,M9 + HMB
240921_carbon_source_gradients_240921_ct_oa_acetate_F9,Acetate,45.0,M9 + HMB
240921_carbon_source_gradients_240921_ct_oa_acetate_G9,Acetate,45.0,M9 + HMB
240921_carbon_source_gradients_240921_ct_oa_acetate_E3,Acetate,4.0,M9 + HMB
240921_carbon_source_gradients_240921_ct_oa_acetate_F3,Acetate,4.0,M9 + HMB
240921_carbon_source_gradients_240921_ct_oa_acetate_G3,Acetate,4.0,M9 + HMB
240921_carbon_source_gradients_240921_ct_oa_acetate_B9,Acetate,45.0,M9 + HMB
240921_carbon_source_gradients_240921_ct_oa_acetate_C9,Acetate,45.0,M9 + HMB
240921_carbon_source_gradients_240921_ct_oa_acetate_D9,Acetate,45.0,M9 + HMB
240921_carbon_source_gradients_240921_ct_oa_acetate_B2,Acetate,2.0,M9 + HMB
240921_carbon_source_gradients_240921_ct_oa_acetate_C2,Acetate,2.0,M9 + HMB
240921_carbon_source_gradients_240921_ct_oa_acetate_D2,Acetate,2.0,M9 + HMB
240921_carbon_source_gradients_240921_ct_oa_acetate_E7,Acetate,15.0,M9 + HMB
240921_carbon_source_gradients_240921_ct_oa_acetate_F7,Acetate,15.0,M9 + HMB
240921_carbon_source_gradients_240921_ct_oa_acetate_G7,Acetate,15.0,M9 + HMB
240921_carbon_source_gradients_240921_ct_oa_acetate_E6,Acetate,10.0,M9 + HMB
240921_carbon_source_gradients_240921_ct_oa_acetate_F6,Acetate,10.0,M9 + HMB
240921_carbon_source_gradients_240921_ct_oa_acetate_G6,Acetate,10.0,M9 + HMB
240921_carbon_source_gradients_240921_ct_oa_acetate_E8,Acetate,20.0,M9 + HMB
240921_carbon_source_gradients_240921_ct_oa_acetate_F8,Acetate,20.0,M9 + HMB
240921_carbon_source_gradients_240921_ct_oa_acetate_G8,Acetate,20.0,M9 + HMB
240921_carbon_source_gradients_240921_ct_oa_acetate_B4,Acetate,6.0,M9 + HMB
240921_carbon_source_gradients_240921_ct_oa_acetate_C4,Acetate,6.0,M9 + HMB
240921_carbon_source_gradients_240921_ct_oa_acetate_D4,Acetate,6.0,M9 + HMB
240921_carbon_source_gradients_240921_ct_oa_acetate_B10,Acetate,30.0,M9 + HMB
240921_carbon_source_gradients_240921_ct_oa_acetate_C10,Acetate,30.0,M9 + HMB
240921_carbon_source_gradients_240921_ct_oa_acetate_D10,Acetate,30.0,M9 + HMB
240921_carbon_source_gradients_240921_ct_oa_acetate_B5,Acetate,7.5,M9 + HMB
240921_carbon_source_gradients_240921_ct_oa_acetate_C5,Acetate,7.5,M9 + HMB
240921_carbon_source_gradients_240921_ct_oa_acetate_D5,Acetate,7.5,M9 + HMB
240921_carbon_source_gradients_240921_ct_oa_acetate_E2,Acetate,2.0,M9 + HMB
240921_carbon_source_gradients_240921_ct_oa_acetate_F2,Acetate,2.0,M9 + HMB
240921_carbon_source_gradients_240921_ct_oa_acetate_G2,Acetate,2.0,M9 + HMB
240921_carbon_source_gradients_240921_ct_oa_acetate_E5,Acetate,7.5,M9 + HMB
240921_carbon_source_gradients_240921_ct_oa_acetate_F5,Acetate,7.5,M9 + HMB
240921_carbon_source_gradients_240921_ct_oa_acetate_G5,Acetate,7.5,M9 + HMB
240921_carbon_source_gradients_240921_ct_oa_acetate_B6,Acetate,10.0,M9 + HMB
240921_carbon_source_gradients_240921_ct_oa_acetate_C6,Acetate,10.0,M9 + HMB
240921_carbon_source_gradients_240921_ct_oa_acetate_D6,Acetate,10.0,M9 + HMB
240921_carbon_source_gradients_240921_ct_oa_acetate_B3,Acetate,4.0,M9 + HMB
240921_carbon_source_gradients_240921_ct_oa_acetate_C3,Acetate,4.0,M9 + HMB
240921_carbon_source_gradients_240921_ct_oa_acetate_D3,Acetate,4.0,M9 + HMB
