linegroup,inhibitor,inhibitor_conc
240921_carbon_source_gradients_240921_ct_oa_acetate_B8,None,0
240921_carbon_source_gradients_240921_ct_oa_acetate_C8,None,0
240921_carbon_source_gradients_240921_ct_oa_acetate_D8,None,0
240921_carbon_source_gradients_240921_ct_oa_acetate_E10,None,0
240921_carbon_source_gradients_240921_ct_oa_acetate_F10,None,0
240921_carbon_source_gradients_240921_ct_oa_acetate_G10,None,0
240921_carbon_source_gradients_240921_ct_oa_acetate_E4,None,0
240921_carbon_source_gradients_240921_ct_oa_acetate_F4,None,0
240921_carbon_source_gradients_240921_ct_oa_acetate_G4,None,0
240921_carbon_source_gradients_240921_ct_oa_acetate_B7,None,0
240921_carbon_source_gradients_240921_ct_oa_acetate_C7,None,0
240921_carbon_source_gradients_240921_ct_oa_acetate_D7,None,0
240921_carbon_source_gradients_240921_ct_oa_acetate_E9,None,0
240921_carbon_source_gradients_240921_ct_oa_acetate_F9,None,0
240921_carbon_source_gradients_240921_ct_oa_acetate_G9,None,0
240921_carbon_source_gradients_240921_ct_oa_acetate_E3,None,0
240921_carbon_source_gradients_240921_ct_oa_acetate_F3,None,0
240921_carbon_source_gradients_240921_ct_oa_acetate_G3,None,0
240921_carbon_source_gradients_240921_ct_oa_acetate_B9,None,0
240921_carbon_source_gradients_240921_ct_oa_acetate_C9,None,0
240921_carbon_source_gradients_240921_ct_oa_acetate_D9,None,0
240921_carbon_source_gradients_240921_ct_oa_acetate_B2,None,0
240921_carbon_source_gradients_240921_ct_oa_acetate_C2,None,0
240921_carbon_source_gradients_240921_ct_oa_acetate_D2,None,0
240921_carbon_source_gradients_240921_ct_oa_acetate_E7,None,0
240921_carbon_source_gradients_240921_ct_oa_acetate_F7,None,0
240921_carbon_source_gradients_240921_ct_oa_acetate_G7,None,0
240921_carbon_source_gradients_240921_ct_oa_acetate_E6,None,0
240921_carbon_source_gradients_240921_ct_oa_acetate_F6,None,0
240921_carbon_source_gradients_240921_ct_oa_acetate_G6,None,0
240921_carbon_source_gradients_240921_ct_oa_acetate_E8,None,0
240921_carbon_source_gradients_240921_ct_oa_acetate_F8,None,0
240921_carbon_source_gradients_240921_ct_oa_acetate_G8,None,0
240921_carbon_source_gradients_240921_ct_oa_acetate_B4,None,0
240921_carbon_source_gradients_240921_ct_oa_acetate_C4,None,0
240921_carbon_source_gradients_240921_ct_oa_acetate_D4,None,0
240921_carbon_source_gradients_240921_ct_oa_acetate_B10,None,0
240921_carbon_source_gradients_240921_ct_oa_acetate_C10,None,0
240921_carbon_source_gradients_240921_ct_oa_acetate_D10,None,0
240921_carbon_source_gradients_240921_ct_oa_acetate_B5,None,0
240921_carbon_source_gradients_240921_ct_oa_acetate_C5,None,0
240921_carbon_source_gradients_240921_ct_oa_acetate_D5,None,0
240921_carbon_source_gradients_240921_ct_oa_acetate_E2,None,0
240921_carbon_source_gradients_240921_ct_oa_acetate_F2,None,0
240921_carbon_source_gradients_240921_ct_oa_acetate_G2,None,0
240921_carbon_source_gradients_240921_ct_oa_acetate_E5,None,0
240921_carbon_source_gradients_240921_ct_oa_acetate_F5,None,0
240921_carbon_source_gradients_240921_ct_oa_acetate_G5,None,0
240921_carbon_source_gradients_240921_ct_oa_acetate_B6,None,0
240921_carbon_source_gradients_240921_ct_oa_acetate_C6,None,0
240921_carbon_source_gradients_240921_ct_oa_acetate_D6,None,0
240921_carbon_source_gradients_240921_ct_oa_acetate_B3,None,0
240921_carbon_source_gradients_240921_ct_oa_acetate_C3,None,0
240921_carbon_source_gradients_240921_ct_oa_acetate_D3,None,0
