linegroup,time,measurement
240921_carbon_source_gradients_240921_ct_oa_acetate_B8,0.15055555555555555,0.01
240921_carbon_source_gradients_240921_ct_oa_acetate_B8,0.31722222222222224,0.01
240921_carbon_source_gradients_240921_ct_oa_acetate_B8,0.4838888888888889,0.011
240921_carbon_source_gradients_240921_ct_oa_acetate_B8,0.6505555555555556,0.012
240921_carbon_source_gradients_240921_ct_oa_acetate_B8,0.8172222222222222,0.014
240921_carbon_source_gradients_240921_ct_oa_acetate_B8,0.9838888888888888,0.014
240921_carbon_source_gradients_240921_ct_oa_acetate_B8,1.1505555555555556,0.015
240921_carbon_source_gradients_240921_ct_oa_acetate_B8,1.3172222222222223,0.014
240921_carbon_source_gradients_240921_ct_oa_acetate_B8,1.4838888888888888,0.019
240921_carbon_source_gradients_240921_ct_oa_acetate_B8,1.6505555555555556,0.019
240921_carbon_source_gradients_240921_ct_oa_acetate_B8,1.8172222222222223,0.017
240921_carbon_source_gradients_240921_ct_oa_acetate_B8,1.9838888888888888,0.016
240921_carbon_source_gradients_240921_ct_oa_acetate_B8,2.1505555555555556,0.017
240921_carbon_source_gradients_240921_ct_oa_acetate_B8,2.317222222222222,0.023
240921_carbon_source_gradients_240921_ct_oa_acetate_B8,2.483888888888889,0.019
240921_carbon_source_gradients_240921_ct_oa_acetate_B8,2.6505555555555556,0.019
240921_carbon_source_gradients_240921_ct_oa_acetate_B8,2.817222222222222,0.019
240921_carbon_source_gradients_240921_ct_oa_acetate_B8,2.983888888888889,0.02
240921_carbon_source_gradients_240921_ct_oa_acetate_B8,3.1505555555555556,0.021
240921_carbon_source_gradients_240921_ct_oa_acetate_B8,3.317222222222222,0.023
240921_carbon_source_gradients_240921_ct_oa_acetate_B8,3.483888888888889,0.024
240921_carbon_source_gradients_240921_ct_oa_acetate_B8,3.6505555555555556,0.026
240921_carbon_source_gradients_240921_ct_oa_acetate_B8,3.817222222222222,0.023
240921_carbon_source_gradients_240921_ct_oa_acetate_B8,3.983888888888889,0.029
