project,exp_ID,linegroup
240921_carbon_source_gradients,240921_carbon_source_gradients_240921_ct_oa_acetate,240921_carbon_source_gradients_240921_ct_oa_acetate_B8
240921_carbon_source_gradients,240921_carbon_source_gradients_240921_ct_oa_acetate,240921_carbon_source_gradients_240921_ct_oa_acetate_C8
240921_carbon_source_gradients,240921_carbon_source_gradients_240921_ct_oa_acetate,240921_carbon_source_gradients_240921_ct_oa_acetate_D8
240921_carbon_source_gradients,240921_carbon_source_gradients_240921_ct_oa_acetate,240921_carbon_source_gradients_240921_ct_oa_acetate_E10
240921_carbon_source_gradients,240921_carbon_source_gradients_240921_ct_oa_acetate,240921_carbon_source_gradients_240921_ct_oa_acetate_F10
240921_carbon_source_gradients,240921_carbon_source_gradients_240921_ct_oa_acetate,240921_carbon_source_gradients_240921_ct_oa_acetate_G10
240921_carbon_source_gradients,240921_carbon_source_gradients_240921_ct_oa_acetate,240921_carbon_source_gradients_240921_ct_oa_acetate_E4
240921_carbon_source_gradients,240921_carbon_source_gradients_240921_ct_oa_acetate,240921_carbon_source_gradients_240921_ct_oa_acetate_F4
240921_carbon_source_gradients,240921_carbon_source_gradients_240921_ct_oa_acetate,240921_carbon_source_gradients_240921_ct_oa_acetate_G4
240921_carbon_source_gradients,240921_carbon_source_gradients_240921_ct_oa_acetate,240921_carbon_source_gradients_240921_ct_oa_acetate_B7
240921_carbon_source_gradients,240921_carbon_source_gradients_240921_ct_oa_acetate,240921_carbon_source_gradients_240921_ct_oa_acetate_C7
240921_carbon_source_gradients,240921_carbon_source_gradients_240921_ct_oa_acetate,240921_carbon_source_gradients_240921_ct_oa_acetate_D7
240921_carbon_source_gradients,240921_carbon_source_gradients_240921_ct_oa_acetate,240921_carbon_source_gradients_240921_ct_oa_acetate_E9
240921_carbon_source_gradients,240921_carbon_source_gradients_240921_ct_oa_acetate,240921_carbon_source_gradients_240921_ct_oa_acetate_F9
240921_carbon_source_gradients,240921_carbon_source_gradients_240921_ct_oa_acetate,240921_carbon_source_gradients_240921_ct_oa_acetate_G9
240921_carbon_source_gradients,240921_carbon_source_gradients_240921_ct_oa_acetate,240921_carbon_source_gradients_240921_ct_oa_acetate_E3
240921_carbon_source_gradients,240921_carbon_source_gradients_240921_ct_oa_acetate,240921_carbon_source_gradients_240921_ct_oa_acetate_F3
240921_carbon_source_gradients,240921_carbon_source_gradients_240921_ct_oa_acetate,240921_carbon_source_gradients_240921_ct_oa_acetate_G3
240921_carbon_source_gradients,240921_carbon_source_gradients_240921_ct_oa_acetate,240921_carbon_source_gradients_240921_ct_oa_acetate_B9
240921_carbon_source_gradients,240921_carbon_source_gradients_240921_ct_oa_acetate,240921_carbon_source_gradients_240921_ct_oa_acetate_C9
240921_carbon_source_gradients,240921_carbon_source_gradients_240921_ct_oa_acetate,240921_carbon_source_gradients_240921_ct_oa_acetate_D9
240921_carbon_source_gradients,240921_carbon_source_gradients_240921_ct_oa_acetate,240921_carbon_source_gradients_240921_ct_oa_acetate_B2
