linegroup,species
240921_carbon_source_gradients_240921_ct_oa_acetate_B8,Comamonas testosteroni
240921_carbon_source_gradients_240921_ct_oa_acetate_C8,Comamonas testosteroni
240921_carbon_source_gradients_240921_ct_oa_acetate_D8,Comamonas testosteroni
240921_carbon_source_gradients_240921_ct_oa_acetate_E10,Ochrobactrum anthropi
240921_carbon_source_gradients_240921_ct_oa_acetate_F10,Ochrobactrum anthropi
240921_carbon_source_gradients_240921_ct_oa_acetate_G10,Ochrobactrum anthropi
240921_carbon_source_gradients_240921_ct_oa_acetate_E4,Ochrobactrum anthropi
240921_carbon_source_gradients_240921_ct_oa_acetate_F4,Ochrobactrum anthropi
240921_carbon_source_gradients_240921_ct_oa_acetate_G4,Ochrobactrum anthropi
240921_carbon_source_gradients_240921_ct_oa_acetate_B7,Comamonas testosteroni
240921_carbon_source_gradients_240921_ct_oa_acetate_C7,Comamonas testosteroni
240921_carbon_source_gradients_240921_ct_oa_acetate_D7,Comamonas testosteroni
240921_carbon_source_gradients_240921_ct_oa_acetate_E9,Ochrobactrum anthropi
240921_carbon_source_gradients_240921_ct_oa_acetate_F9,Ochrobactrum anthropi
240921_carbon_source_gradients_240921_ct_oa_acetate_G9,Ochrobactrum anthropi
240921_carbon_source_gradients_240921_ct_oa_acetate_E3,Ochrobactrum anthropi
240921_carbon_source_gradients_240921_ct_oa_acetate_F3,Ochrobactrum anthropi
240921_carbon_source_gradients_240921_ct_oa_acetate_G3,Ochrobactrum anthropi
240921_carbon_source_gradients_240921_ct_oa_acetate_B9,Comamonas testosteroni
240921_carbon_source_gradients_240921_ct_oa_acetate_C9,Comamonas testosteroni
240921_carbon_source_gradients_240921_ct_oa_acetate_D9,Comamonas testosteroni
240921_carbon_source_gradients_240921_ct_oa_acetate_B2,Comamonas testosteroni
240921_carbon_source_gradients_240921_ct_oa_acetate_C2,Comamonas testosteroni
240921_carbon_source_gradients_240921_ct_oa_acetate_D2,Comamonas testosteroni
240921_carbon_source_gradients_240921_ct_oa_acetate_E7,Ochrobactrum anthropi
240921_carbon_source_gradients_240921_ct_oa_acetate_F7,Ochrobactrum anthropi
240921_carbon_source_gradients_240921_ct_oa_acetate_G7,Ochrobactrum anthropi
240921_carbon_source_gradients_240921_ct_oa_acetate_E6,Ochrobactrum anthropi
240921_carbon_source_gradients_240921_ct_oa_acetate_F6,Ochrobactrum anthropi
240921_carbon_source_gradients_240921_ct_oa_acetate_G6,Ochrobactrum anthropi
240921_carbon_source_gradients_240921_ct_oa_acetate_E8,Ochrobactrum anthropi
240921_carbon_source_gradients_240921_ct_oa_acetate_F8,Ochrobactrum anthropi
240921_carbon_source_gradients_240921_ct_oa_acetate_G8,Ochrobactrum anthropi
240921_carbon_source_gradients_240921_ct_oa_acetate_B4,Comamonas testosteroni
240921_carbon_source_gradients_240921_ct_oa_acetate_C4,Comamonas testosteroni
240921_carbon_source_gradients_240921_ct_oa_acetate_D4,Comamonas testosteroni
240921_carbon_source_gradients_240921_ct_oa_acetate_B10,Comamonas testosteroni
240921_carbon_source_gradients_240921_ct_oa_acetate_C10,Comamonas testosteroni
240921_carbon_source_gradients_240921_ct_oa_acetate_D10,Comamonas testosteroni
240921_carbon_source_gradients_240921_ct_oa_acetate_B5,Comamonas testosteroni
240921_carbon_source_gradients_240921_ct_oa_acetate_C5,Comamonas testosteroni
240921_carbon_source_gradients_240921_ct_oa_acetate_D5,Comamonas testosteroni
240921_carbon_source_gradients_240921_ct_oa_acetate_E2,Ochrobactrum anthropi
240921_carbon_source_gradients_240921_ct_oa_acetate_F2,Ochrobactrum anthropi
240921_carbon_source_gradients_240921_ct_oa_acetate_G2,Ochrobactrum anthropi
240921_carbon_source_gradients_240921_ct_oa_acetate_E5,Ochrobactrum anthropi
240921_carbon_source_gradients_240921_ct_oa_acetate_F5,Ochrobactrum anthropi
240921_carbon_source_gradients_240921_ct_oa_acetate_G5,Ochrobactrum anthropi
240921_carbon_source_gradients_240921_ct_oa_acetate_B6,Comamonas testosteroni
240921_carbon_source_gradients_240921_ct_oa_acetate_C6,Comamonas testosteroni
240921_carbon_source_gradients_240921_ct_oa_acetate_D6,Comamonas testosteroni
240921_carbon_source_gradients_240921_ct_oa_acetate_B3,Comamonas testosteroni
240921_carbon_source_gradients_240921_ct_oa_acetate_C3,Comamonas testosteroni
240921_carbon_source_gradients_240921_ct_oa_acetate_D3,Comamonas testosteroni
