linegroup,inhibitor,inhibitor_conc
ct_oa_chemostat_project_thiamine_gradient_B3,None,0
ct_oa_chemostat_project_thiamine_gradient_C3,None,0
ct_oa_chemostat_project_thiamine_gradient_D3,None,0
ct_oa_chemostat_project_thiamine_gradient_B7,None,0
ct_oa_chemostat_project_thiamine_gradient_C7,None,0
ct_oa_chemostat_project_thiamine_gradient_D7,None,0
ct_oa_chemostat_project_thiamine_gradient_E5,None,0
ct_oa_chemostat_project_thiamine_gradient_F5,None,0
ct_oa_chemostat_project_thiamine_gradient_G5,None,0
ct_oa_chemostat_project_thiamine_gradient_E2,None,0
ct_oa_chemostat_project_thiamine_gradient_F2,None,0
ct_oa_chemostat_project_thiamine_gradient_G2,None,0
ct_oa_chemostat_project_thiamine_gradient_E8,None,0
ct_oa_chemostat_project_thiamine_gradient_F8,None,0
ct_oa_chemostat_project_thiamine_gradient_G8,None,0
ct_oa_chemostat_project_thiamine_gradient_E3,None,0
ct_oa_chemostat_project_thiamine_gradient_F3,None,0
ct_oa_chemostat_project_thiamine_gradient_G3,None,0
ct_oa_chemostat_project_thiamine_gradient_B8,None,0
ct_oa_chemostat_project_thiamine_gradient_C8,None,0
ct_oa_chemostat_project_thiamine_gradient_D8,None,0
ct_oa_chemostat_project_thiamine_gradient_B9,None,0
ct_oa_chemostat_project_thiamine_gradient_C9,None,0
ct_oa_chemostat_project_thiamine_gradient_D9,None,0
ct_oa_chemostat_project_thiamine_gradient_E6,None,0
ct_oa_chemostat_project_thiamine_gradient_F6,None,0
ct_oa_chemostat_project_thiamine_gradient_G6,None,0
ct_oa_chemostat_project_thiamine_gradient_E7,None,0
ct_oa_chemostat_project_thiamine_gradient_F7,None,0
ct_oa_chemostat_project_thiamine_gradient_G7,None,0
ct_oa_chemostat_project_thiamine_gradient_B5,None,0
ct_oa_chemostat_project_thiamine_gradient_C5,None,0
ct_oa_chemostat_project_thiamine_gradient_D5,None,0
ct_oa_chemostat_project_thiamine_gradient_B6,None,0
ct_oa_chemostat_project_thiamine_gradient_C6,None,0
ct_oa_chemostat_project_thiamine_gradient_D6,None,0
ct_oa_chemostat_project_thiamine_gradient_B2,None,0
ct_oa_chemostat_project_thiamine_gradient_C2,None,0
ct_oa_chemostat_project_thiamine_gradient_D2,None,0
ct_oa_chemostat_project_thiamine_gradient_E4,None,0
ct_oa_chemostat_project_thiamine_gradient_F4,None,0
ct_oa_chemostat_project_thiamine_gradient_G4,None,0
ct_oa_chemostat_project_thiamine_gradient_E9,None,0
ct_oa_chemostat_project_thiamine_gradient_F9,None,0
ct_oa_chemostat_project_thiamine_gradient_G9,None,0
ct_oa_chemostat_project_thiamine_gradient_B4,None,0
ct_oa_chemostat_project_thiamine_gradient_C4,None,0
ct_oa_chemostat_project_thiamine_gradient_D4,None,0
