linegroup,time,measurement
ct_oa_chemostat_project_thiamine_gradient_B3,0.15055555555555555,0.077
ct_oa_chemostat_project_thiamine_gradient_B3,0.31722222222222224,0.079
ct_oa_chemostat_project_thiamine_gradient_B3,0.4838888888888889,0.104
ct_oa_chemostat_project_thiamine_gradient_B3,0.6505555555555556,0.111
ct_oa_chemostat_project_thiamine_gradient_B3,0.8172222222222222,0.117
ct_oa_chemostat_project_thiamine_gradient_B3,0.9838888888888888,0.123
ct_oa_chemostat_project_thiamine_gradient_B3,1.1505555555555556,0.125
ct_oa_chemostat_project_thiamine_gradient_B3,1.3172222222222223,0.135
ct_oa_chemostat_project_thiamine_gradient_B3,1.4838888888888888,0.144
ct_oa_chemostat_project_thiamine_gradient_B3,1.6505555555555556,0.149
ct_oa_chemostat_project_thiamine_gradient_B3,1.8172222222222223,0.156
ct_oa_chemostat_project_thiamine_gradient_B3,1.9838888888888888,0.157
ct_oa_chemostat_project_thiamine_gradient_B3,2.1505555555555556,0.164
ct_oa_chemostat_project_thiamine_gradient_B3,2.317222222222222,0.169
ct_oa_chemostat_project_thiamine_gradient_B3,2.483888888888889,0.172
ct_oa_chemostat_project_thiamine_gradient_B3,2.6505555555555556,0.18
ct_oa_chemostat_project_thiamine_gradient_B3,2.817222222222222,0.18
ct_oa_chemostat_project_thiamine_gradient_B3,2.983888888888889,0.196
ct_oa_chemostat_project_thiamine_gradient_B3,3.1505555555555556,0.191
ct_oa_chemostat_project_thiamine_gradient_B3,3.317222222222222,0.194
ct_oa_chemostat_project_thiamine_gradient_B3,3.483888888888889,0.196
ct_oa_chemostat_project_thiamine_gradient_B3,3.6505555555555556,0.20299999999999999
ct_oa_chemostat_project_thiamine_gradient_B3,3.817222222222222,0.208
ct_oa_chemostat_project_thiamine_gradient_B3,3.983888888888889,0.214
ct_oa_chemostat_project_thiamine_gradient_B3,4.150555555555555,0.226
ct_oa_chemostat_project_thiamine_gradient_B3,4.317222222222223,0.229
ct_oa_chemostat_project_thiamine_gradient_B3,4.483888888888889,0.228
ct_oa_chemostat_project_thiamine_gradient_B3,4.650555555555556,0.236
ct_oa_chemostat_project_thiamine_gradient_B3,4.817222222222223,0.24
ct_oa_chemostat_project_thiamine_gradient_B3,4.983888888888889,0.245
ct_oa_chemostat_project_thiamine_gradient_B3,5.150555555555556,0.246
ct_oa_chemostat_project_thiamine_gradient_B3,5.317222222222223,0.25
ct_oa_chemostat_project_thiamine_gradient_B3,5.483888888888889,0.255
ct_oa_chemostat_project_thiamine_gradient_B3,5.650555555555556,0.261
ct_oa_chemostat_project_thiamine_gradient_B3,5.817222222222223,0.262
ct_oa_chemostat_project_thiamine_gradient_B3,5.983888888888889,0.263
ct_oa_chemostat_project_thiamine_gradient_B3,6.150555555555556,0.265
ct_oa_chemostat_project_thiamine_gradient_B3,6.317222222222223,0.268
ct_oa_chemostat_project_thiamine_gradient_B3,6.483888888888889,0.27
ct_oa_chemostat_project_thiamine_gradient_B3,6.650555555555556,0.28
ct_oa_chemostat_project_thiamine_gradient_B3,6.817222222222223,0.277
ct_oa_chemostat_project_thiamine_gradient_B3,6.983888888888889,0.272
ct_oa_chemostat_project_thiamine_gradient_B3,7.150555555555556,0.278
ct_oa_chemostat_project_thiamine_gradient_B3,7.317222222222223,0.27999999999999997
ct_oa_chemostat_project_thiamine_gradient_B3,7.483888888888889,0.283
