linegroup,inhibitor,inhibitor_conc
nccr_mwf_phenotyping_Kq_109_F10,None,0
nccr_mwf_phenotyping_Kq_109_F11,None,0
nccr_mwf_phenotyping_Kq_109_F12,None,0
nccr_mwf_phenotyping_Kq_109_D1,None,0
nccr_mwf_phenotyping_Kq_109_D2,None,0
nccr_mwf_phenotyping_Kq_109_D3,None,0
nccr_mwf_phenotyping_Kq_109_A7,None,0
nccr_mwf_phenotyping_Kq_109_A8,None,0
nccr_mwf_phenotyping_Kq_109_A9,None,0
nccr_mwf_phenotyping_Kq_109_E1,None,0
nccr_mwf_phenotyping_Kq_109_E2,None,0
nccr_mwf_phenotyping_Kq_109_E3,None,0
nccr_mwf_phenotyping_Kq_109_G1,None,0
nccr_mwf_phenotyping_Kq_109_G2,None,0
nccr_mwf_phenotyping_Kq_109_G3,None,0
nccr_mwf_phenotyping_Kq_109_H1,None,0
nccr_mwf_phenotyping_Kq_109_H2,None,0
nccr_mwf_phenotyping_Kq_109_H3,None,0
nccr_mwf_phenotyping_Kq_109_C1,None,0
nccr_mwf_phenotyping_Kq_109_C2,None,0
nccr_mwf_phenotyping_Kq_109_C3,None,0
nccr_mwf_phenotyping_Kq_109_C7,None,0
nccr_mwf_phenotyping_Kq_109_C8,None,0
nccr_mwf_phenotyping_Kq_109_C9,None,0
nccr_mwf_phenotyping_Kq_109_D4,None,0
nccr_mwf_phenotyping_Kq_109_D5,None,0
nccr_mwf_phenotyping_Kq_109_D6,None,0
nccr_mwf_phenotyping_Kq_109_G4,None,0
nccr_mwf_phenotyping_Kq_109_G5,None,0
nccr_mwf_phenotyping_Kq_109_G6,None,0
nccr_mwf_phenotyping_Kq_109_H7,None,0
nccr_mwf_phenotyping_Kq_109_H8,None,0
nccr_mwf_phenotyping_Kq_109_H9,None,0
nccr_mwf_phenotyping_Kq_109_C4,None,0
nccr_mwf_phenotyping_Kq_109_C5,None,0
nccr_mwf_phenotyping_Kq_109_C6,None,0
nccr_mwf_phenotyping_Kq_109_F1,None,0
nccr_mwf_phenotyping_Kq_109_F2,None,0
nccr_mwf_phenotyping_Kq_109_F3,None,0
nccr_mwf_phenotyping_Kq_109_A1,None,0
nccr_mwf_phenotyping_Kq_109_A2,None,0
nccr_mwf_phenotyping_Kq_109_A3,None,0
nccr_mwf_phenotyping_Kq_109_C10,None,0
nccr_mwf_phenotyping_Kq_109_C11,None,0
nccr_mwf_phenotyping_Kq_109_C12,None,0
