linegroup,species
nccr_mwf_phenotyping_Kq_109_F10,Klebsiella quasipneumoniae
nccr_mwf_phenotyping_Kq_109_F11,Klebsiella quasipneumoniae
nccr_mwf_phenotyping_Kq_109_F12,Klebsiella quasipneumoniae
nccr_mwf_phenotyping_Kq_109_D1,Klebsiella quasipneumoniae
nccr_mwf_phenotyping_Kq_109_D2,Klebsiella quasipneumoniae
nccr_mwf_phenotyping_Kq_109_D3,Klebsiella quasipneumoniae
nccr_mwf_phenotyping_Kq_109_A7,Klebsiella quasipneumoniae
nccr_mwf_phenotyping_Kq_109_A8,Klebsiella quasipneumoniae
nccr_mwf_phenotyping_Kq_109_A9,Klebsiella quasipneumoniae
nccr_mwf_phenotyping_Kq_109_E1,Klebsiella quasipneumoniae
nccr_mwf_phenotyping_Kq_109_E2,Klebsiella quasipneumoniae
nccr_mwf_phenotyping_Kq_109_E3,Klebsiella quasipneumoniae
nccr_mwf_phenotyping_Kq_109_G1,Klebsiella quasipneumoniae
nccr_mwf_phenotyping_Kq_109_G2,Klebsiella quasipneumoniae
nccr_mwf_phenotyping_Kq_109_G3,Klebsiella quasipneumoniae
nccr_mwf_phenotyping_Kq_109_H1,Klebsiella quasipneumoniae
nccr_mwf_phenotyping_Kq_109_H2,Klebsiella quasipneumoniae
nccr_mwf_phenotyping_Kq_109_H3,Klebsiella quasipneumoniae
nccr_mwf_phenotyping_Kq_109_C1,Klebsiella quasipneumoniae
nccr_mwf_phenotyping_Kq_109_C2,Klebsiella quasipneumoniae
nccr_mwf_phenotyping_Kq_109_C3,Klebsiella quasipneumoniae
nccr_mwf_phenotyping_Kq_109_C7,Klebsiella quasipneumoniae
nccr_mwf_phenotyping_Kq_109_C8,Klebsiella quasipneumoniae
nccr_mwf_phenotyping_Kq_109_C9,Klebsiella quasipneumoniae
nccr_mwf_phenotyping_Kq_109_D4,Klebsiella quasipneumoniae
nccr_mwf_phenotyping_Kq_109_D5,Klebsiella quasipneumoniae
nccr_mwf_phenotyping_Kq_109_D6,Klebsiella quasipneumoniae
nccr_mwf_phenotyping_Kq_109_G4,Klebsiella quasipneumoniae
nccr_mwf_phenotyping_Kq_109_G5,Klebsiella quasipneumoniae
nccr_mwf_phenotyping_Kq_109_G6,Klebsiella quasipneumoniae
nccr_mwf_phenotyping_Kq_109_H7,Klebsiella quasipneumoniae
nccr_mwf_phenotyping_Kq_109_H8,Klebsiella quasipneumoniae
nccr_mwf_phenotyping_Kq_109_H9,Klebsiella quasipneumoniae
nccr_mwf_phenotyping_Kq_109_C4,Klebsiella quasipneumoniae
nccr_mwf_phenotyping_Kq_109_C5,Klebsiella quasipneumoniae
nccr_mwf_phenotyping_Kq_109_C6,Klebsiella quasipneumoniae
nccr_mwf_phenotyping_Kq_109_F1,Klebsiella quasipneumoniae
nccr_mwf_phenotyping_Kq_109_F2,Klebsiella quasipneumoniae
nccr_mwf_phenotyping_Kq_109_F3,Klebsiella quasipneumoniae
nccr_mwf_phenotyping_Kq_109_A1,Klebsiella quasipneumoniae
nccr_mwf_phenotyping_Kq_109_A2,Klebsiella quasipneumoniae
nccr_mwf_phenotyping_Kq_109_A3,Klebsiella quasipneumoniae
nccr_mwf_phenotyping_Kq_109_C10,Klebsiella quasipneumoniae
nccr_mwf_phenotyping_Kq_109_C11,Klebsiella quasipneumoniae
nccr_mwf_phenotyping_Kq_109_C12,Klebsiella quasipneumoniae
nccr_mwf_phenotyping_Kq_109_E10,Klebsiella quasipneumoniae
nccr_mwf_phenotyping_Kq_109_E11,Klebsiella quasipneumoniae
nccr_mwf_phenotyping_Kq_109_E12,Klebsiella quasipneumoniae
nccr_mwf_phenotyping_Kq_109_B4,Klebsiella quasipneumoniae
nccr_mwf_phenotyping_Kq_109_B5,Klebsiella quasipneumoniae
nccr_mwf_phenotyping_Kq_109_B6,Klebsiella quasipneumoniae
nccr_mwf_phenotyping_Kq_109_E4,Klebsiella quasipneumoniae
nccr_mwf_phenotyping_Kq_109_E5,Klebsiella quasipneumoniae
nccr_mwf_phenotyping_Kq_109_E6,Klebsiella quasipneumoniae
nccr_mwf_phenotyping_Kq_109_F4,Klebsiella quasipneumoniae
nccr_mwf_phenotyping_Kq_109_F5,Klebsiella quasipneumoniae
nccr_mwf_phenotyping_Kq_109_F6,Klebsiella quasipneumoniae
nccr_mwf_phenotyping_Kq_109_F7,Klebsiella quasipneumoniae
nccr_mwf_phenotyping_Kq_109_F8,Klebsiella quasipneumoniae
nccr_mwf_phenotyping_Kq_109_F9,Klebsiella quasipneumoniae
nccr_mwf_phenotyping_Kq_109_G7,Klebsiella quasipneumoniae
nccr_mwf_phenotyping_Kq_109_G8,Klebsiella quasipneumoniae
nccr_mwf_phenotyping_Kq_109_G9,Klebsiella quasipneumoniae
nccr_mwf_phenotyping_Kq_109_D10,Klebsiella quasipneumoniae
